series,prefecture,name,address,latitude,longitude,group
primagi,愛知県,GiGO mozoワンダーシティ,愛知県名古屋市西区二方町40 mozoﾜﾝﾀﾞｰｼﾃｨｼﾈﾏ棟,35.227308,136.884499,1
primagi,愛知県,GiGOイオンタウン刈谷,愛知県刈谷市東境町京和1,35.038865,137.028774,1
primagi,愛知県,GiGOイオンタウン名西,愛知県名古屋市西区香呑町6-49-1,35.203999,136.892811,1
primagi,愛知県,GIGOイオンモール木曽川,愛知県一宮市木曽川町黒田字南八ﾂヶ池25-1 ｲｵﾝﾓｰﾙ木曽川3F?,35.349585,136.773647,1
primagi,愛知県,GiGOギャラリエアピタ知立,愛知県知立市長篠町大山１８－１ギャラリエアピタ１Ｆ,34.997845,137.052979,1
primagi,愛知県,GiGOプライムツリー赤池,愛知県日進市赤池町箕ノ手１番,35.108621,137.024397,1
primagi,愛知県,GiGO安城,愛知県安城市百石町2-35-13,34.947333,137.073167,1
primagi,愛知県,GiGO春日井,愛知県春日井市岩野町4180,35.269455,136.959883,1
primagi,愛知県,GiGO東名ボール,愛知県瀬戸市西原町2-114,35.209151,137.062940,1
primagi,愛知県,GiGO尾西,愛知県一宮市篭屋3-9-7 ｱｿﾋﾞｯｸｽびさい1F,35.309199,136.771506,1
primagi,愛知県,GiGO豊橋飯村,愛知県豊橋市飯村町字西山25-121,34.749323,137.413953,1
primagi,愛知県,LABI名古屋,愛知県名古屋市中村区名駅1-2-5,35.168109,136.884617,1
primagi,愛知県,MIRAINOイオンモール豊川,愛知県豊川市白鳥町兎足1-16 ｲｵﾝﾓｰﾙ豊川3階,34.825548,137.351219,2
primagi,愛知県,namcoアピタ稲沢店,愛知県稲沢市天池五反田町1番地ｱﾋﾟﾀ稲沢店,35.253191,136.771849,1
primagi,愛知県,namcoイオンモールナゴヤドーム前店,愛知県名古屋市東区矢田南4-102-3ｲｵﾝﾓｰﾙﾅｺﾞﾔﾄﾞｰﾑ前3F,35.187060,136.944994,2
primagi,愛知県,namcoイオンモール大高店,愛知県名古屋市緑区南大高二丁目450ｲｵﾝﾓｰﾙ大高3F,35.052973,136.947459,2
primagi,愛知県,namcoイオンモール長久手店,愛知県長久手市長久手中央土地区画整理事業地内5､10､11街区ｲｵﾝﾓｰﾙ長久手3F,35.184115,137.048533,1
primagi,愛知県,namcoイオンモール熱田店,愛知県名古屋市熱田区六野1-2-11ｲｵﾝﾓｰﾙ熱田4F,35.133402,136.910645,1
primagi,愛知県,namcoエアポートウォーク名古屋店,愛知県西春日井郡豊山町大字豊場字林先1番地8,35.245942,136.924823,1
primagi,愛知県,namcoテラスウォーク一宮店,愛知県一宮市両郷町一丁目2番地ﾃﾗｽｳｫｰｸ一宮2階,35.310497,136.816830,1
primagi,愛知県,namcoららぽーと愛知東郷店,愛知県愛知郡東郷町東郷中央土地区画事業62街区1､3ららぽｰと愛知東郷3F,35.098698,137.046930,1
