series,prefecture,name,address,latitude,longitude,group
primagi,新潟県,MEGAドン・キホーテ柏崎店,新潟県柏崎市東長浜町4-15,37.368421,138.579021,1
primagi,新潟県,namco新潟店,新潟県新潟市中央区南笹口1-1-1ひもろぎﾋﾞﾙ2F,37.908372,139.063777,1
primagi,新潟県,PALO十日町,新潟県十日町市旭町161 ﾘｵﾝ･ﾄﾞｰﾙ十日町店1F,37.135803,138.758177,1
primagi,新潟県,アピタ新潟西,新潟県新潟市西区小新5-7-21,37.880552,139.003323,1
primagi,新潟県,アピナ上越インター,新潟県上越市下門前1661,37.154277,138.255641,1
primagi,新潟県,アピナ長岡,新潟県長岡市堺東町22,37.457849,138.813116,2
primagi,新潟県,イオン三条,新潟県三条市西裏館2-12-20,37.639537,138.956670,1
primagi,新潟県,カプコサーカス新潟東,新潟県新潟市東区大形本町3-1-2 ｲｵﾝ新潟東店内ｹﾞｰﾑｺｰﾅｰ,37.924993,139.114692,2
primagi,新潟県,タイトーFステーション イオン新潟西,新潟県新潟市西区小新南2丁目1番10号,37.868290,138.994705,1
primagi,新潟県,タイトーFステーション 燕三条,新潟県燕市井土巻3-150 ｲｵﾝ県央店ｱﾒﾆﾃｨ棟1F,37.651196,138.934971,2
primagi,新潟県,トイザらス新潟,新潟県新潟市中央区上近江4-12-20ﾃﾞｯｷｨ401内,37.898250,139.029619,1
primagi,新潟県,トイザらス長岡,新潟県長岡市川崎町1436-5,37.458406,138.877034,1
primagi,新潟県,ナムコランドイオン三条店,新潟県三条市西裏館2-12-20ｲｵﾝ三条店内,37.639537,138.956670,1
primagi,新潟県,ナムコランドイオン長岡店,新潟県長岡市古正寺1丁目249番1ｲｵﾝ長岡店内,37.454353,138.823326,1
primagi,新潟県,ハローズガーデン新潟亀田,新潟県新潟市江南区鵜ﾉ子4-466 ｱﾋﾟﾀ新潟亀田店2F,37.872302,139.088707,1
primagi,新潟県,ハローズガーデン長岡,新潟県長岡市千秋2-278 ｱﾋﾟﾀRIVERSIDESENSHU長岡店2F,37.460681,138.826739,1
primagi,新潟県,ビックカメラ新潟,新潟県新潟市中央区花園1-1-21CoCoLo南館内,37.905698,139.059552,1
primagi,新潟県,ビルボードプレイスゲームコーナー,新潟県新潟市中央区新潟県新潟市中央区八千代二丁目5番7号,37.916251,139.053062,1
primagi,新潟県,ファミリーアミューズメント新潟西,新潟県新潟市西区小新5-7-21 ｱﾋﾟﾀ新潟西店2F,37.881133,139.002986,1
primagi,新潟県,モーリーファンタジーf新潟南,新潟県新潟市江南区下早通柳田1-1-1 ｲｵﾝ新潟南SC2階,37.876223,139.081546,1
primagi,新潟県,モーリーファンタジー県央,新潟県燕市井土巻3-65 ｲｵﾝ県央店2階,37.651196,138.934971,1
primagi,新潟県,モーリーファンタジー十日町,新潟県十日町市字川端丑784-1 ｲｵﾝ十日町店1階,37.138249,138.745534,1
primagi,新潟県,モーリーファンタジー小千谷,新潟県小千谷市大字平沢新田字荒田339 ｲｵﾝ小千谷店2階,37.320544,138.794550,1
primagi,新潟県,モーリーファンタジー上越,新潟県上越市富岡3458 ｱｺｰﾚ2ｲｵﾝ上越店2階,37.152780,138.258531,1
primagi,新潟県,モーリーファンタジー新潟青山,新潟県新潟市西区青山2-5-1 ｲｵﾝ2F,37.896378,139.004998,1
primagi,新潟県,モーリーファンタジー新潟東,新潟県新潟市東区大形本町3-1-2 ｲｵﾝ新潟東店3階,37.924993,139.114692,1
primagi,新潟県,モーリーファンタジー新潟南,新潟県新潟市江南区下早通柳田1-1-1 ｲｵﾝ新潟南店3階,37.876223,139.081546,1
primagi,新潟県,モーリーファンタジー新発田,新潟県新発田市住吉町5-11-5 ｲｵﾝ新発田店2階,37.942270,139.310024,1
primagi,新潟県,モーリーファンタジー六日町,新潟県南魚沼市余川3100 ｲｵﾝ六日町店2階,37.081244,138.878533,1
primagi,新潟県,ヨドバシカメラマルチメディア新潟駅前,新潟県新潟市中央区弁天1-2-6,37.913203,139.059427,1
