series,prefecture,name,address,latitude,longitude
primagi,東京都,○×△□(ラくトス),東京都葛飾区新小岩1-44-6,35.716094,139.858241
primagi,東京都,GiGO イオンモールむさし村山,東京都武蔵村山市榎1-1-3　イオンモールむさし村山2F,35.746352,139.384813
primagi,東京都,GiGO 高田馬場,東京都新宿区高田馬場4-7-5,35.713602,139.703722
primagi,東京都,GiGO 新宿西口,東京都新宿区西新宿1-12-5,35.689552,139.697378
primagi,東京都,GiGO 船堀,東京都江戸川区船堀１－６－１１,35.684880,139.863931
primagi,東京都,GiGO 立川,東京都立川市柴崎町3-2-1 ｻｻﾞﾝﾋﾞﾙ1F,35.697268,139.414737
primagi,東京都,GiGO秋葉原3号館,東京都千代田区外神田1-11-11 外神田1丁目ﾋﾞﾙﾃﾞｨﾝｸﾞ,35.699246,139.770939
primagi,東京都,GiGO府中,東京都府中市西原町1-6-2 ﾌﾚｽﾎﾟ府中2F,35.682397,139.460386
primagi,東京都,Hey,東京都千代田区外神田1-10-5 広瀬本社ﾋﾞﾙ2F,35.699074,139.770752
primagi,東京都,LABI 品川大井町 住まいる家電館,東京都品川区東大井5-20-1,35.605672,139.735250
primagi,東京都,LABI1日本総本店池袋,東京都豊島区東池袋1-5-7,35.731002,139.713716
primagi,東京都,LABI渋谷,東京都渋谷区道玄坂2-29-20,35.659781,139.698099
primagi,東京都,LIVIN田無,東京都西東京市田無町2-1-1,35.728175,139.540369
primagi,東京都,namcoイオン練馬店,東京都練馬区光が丘5-1-1ｲｵﾝ練馬店3F,35.759298,139.627993
primagi,東京都,namcoイトーヨーカドー木場店,東京都江東区木場1-5-30ｲﾄｰﾖｰｶﾄﾞｰ木場店2･3F,35.665584,139.804659
primagi,東京都,namcoららぽーと立川立飛店,東京都立川市泉町935番1ららぽｰと立川立飛店3F,35.712776,139.417875
primagi,東京都,namco王子サンスクエア店,東京都北区王子1-4-1ｻﾝｽｸｴｱ2階 ｻﾝｽｸｴｱ2階,35.752926,139.738858
primagi,東京都,namco池袋店,東京都豊島区東池袋1-22-10 ヒューマックスパビリオン池袋サンシャイン60通り 1F,35.729808,139.715782
primagi,東京都,namco中野店,東京都中野区中野5-52-15中野ﾌﾞﾛｰﾄﾞｳｪｲ別館,35.708930,139.665777
primagi,東京都,namco東急プラザ蒲田店,東京都大田区西蒲田7丁目69番1号東急ﾌﾟﾗｻﾞ蒲田7階,35.561868,139.715352
primagi,東京都,NOSICA葛西,東京都江戸川区西葛西3-9-19 ｲｵﾝ葛西店3階,35.669417,139.858606
primagi,東京都,PALO聖蹟桜ヶ丘,東京都多摩市関戸4-72 聖蹟桜ヶ丘ｵｰﾊﾟ店6F,35.649679,139.447102
primagi,東京都,SoLaDo竹下通りプリマジスポット,東京都渋谷区神宮前1-8-2　SoLaDo竹下通り1階,35.670570,139.706095
primagi,東京都,THE 3RD PLANET 多摩センター,東京都多摩市落合1-41-1 ﾏｸﾞﾚﾌﾞWEST1階･2階,35.624039,139.423428
primagi,東京都,アドアーズ中野,東京都中野区中野5-52-15 ﾌﾞﾛｰﾄﾞｳｪｲ1階,35.708930,139.665777
primagi,東京都,アドアーズ南砂町SUNAMO,東京都江東区新砂3-4-31 南砂町ｼｮｯﾋﾟﾝｸﾞｾﾝﾀｰSUNAMO4階,35.665144,139.835213
primagi,東京都,アピナ荻窪,東京都杉並区上荻1-13-10 ﾊｸｻﾝﾋﾞﾙ,35.705006,139.618235
primagi,東京都,アピナ八王子みなみ野,東京都八王子市みなみ野1-2-1 ｱｸﾛｽﾓｰﾙ3F,35.630654,139.329233
primagi,東京都,アミュージアムOSC,東京都練馬区東大泉2-34-1ｵｽﾞ･ｽﾀｼﾞｵ･ｼﾃｨ2F,35.753060,139.595257
primagi,東京都,アミュージアムモリタウン昭島,東京都昭島市田中町562-1ﾓﾘﾀｳﾝ東館2F,35.713704,139.363647
primagi,東京都,アミュージアム大泉,東京都練馬区東大泉2-10-11LIVINｵｽﾞ大泉5F,35.752436,139.595335
primagi,東京都,アミュージアム豊洲,東京都江東区豊洲2-4-9ｱｰﾊﾞﾝﾄﾞｯｸららぽｰと豊洲3F,35.655735,139.792662
primagi,東京都,アミューズメントカフェプレビ稲城,東京都稲城市矢野口2284-1 ｱﾒﾘｱ稲城ｼｮｯﾋﾟﾝｸﾞｾﾝﾀｰ2Fﾌﾟﾚﾋﾞﾌﾟﾚｲﾗﾝﾄﾞ,35.635688,139.515433
primagi,東京都,イオンスタイル板橋前野町,東京都板橋区前野町4-21-22,35.771099,139.691809
primagi,東京都,イオン東雲,東京都江東区東雲1-9-10,35.648710,139.802146
primagi,東京都,イオン練馬,東京都練馬区光が丘5-1-1,35.759118,139.628844
primagi,東京都,イトーヨーカドーアリオ亀有,東京都葛飾区亀有3-49-3,35.765946,139.854167
primagi,東京都,イトーヨーカドーアリオ西新井,東京都足立区西新井栄町1-20-1,35.774558,139.785977
primagi,東京都,イトーヨーカドーアリオ北砂,東京都江東区北砂2-17,35.684262,139.825860
primagi,東京都,イトーヨーカドーセブンホームセンター金町,東京都葛飾区東金町1-10-8,35.770292,139.867366
primagi,東京都,イトーヨーカドー曳舟,東京都墨田区京島1-2-1,35.717455,139.817784
primagi,東京都,イトーヨーカドー葛西,東京都江戸川区東葛西9-3-3,35.651932,139.883049
primagi,東京都,イトーヨーカドー高砂,東京都葛飾区高砂3-12-5,35.750945,139.868132
primagi,東京都,イトーヨーカドー国領,東京都調布市国領町8-2-64,35.646759,139.564125
primagi,東京都,イトーヨーカドー四つ木,東京都葛飾区四つ木2-21-1,35.737254,139.838571
primagi,東京都,イトーヨーカドー小岩,東京都江戸川区西小岩1-24-1,35.733625,139.881368
primagi,東京都,イトーヨーカドー昭島,東京都昭島市田中町562-1,35.714869,139.362420
primagi,東京都,イトーヨーカドー上板橋,東京都板橋区常盤台4-26-1,35.763975,139.678137
primagi,東京都,イトーヨーカドー赤羽,東京都北区赤羽西1-7-1,35.777174,139.719142
primagi,東京都,イトーヨーカドー多摩センター,東京都多摩市落合1-44,35.623634,139.425713
primagi,東京都,イトーヨーカドー大井町,東京都品川区大井1-3-6,35.607171,139.733988
primagi,東京都,イトーヨーカドー大森,東京都大田区大森北2-13-1,35.586503,139.733110
primagi,東京都,イトーヨーカドー竹の塚,東京都足立区竹の塚517-1,35.792640,139.794606
primagi,東京都,イトーヨーカドー東久留米,東京都東久留米市本町3-8-1,35.759028,139.528795
primagi,東京都,イトーヨーカドー東村山,東京都東村山市本町2-2-19,35.758765,139.466542
primagi,東京都,イトーヨーカドー東大和,東京都東大和市桜が丘2-142-1,35.735798,139.424204
primagi,東京都,イトーヨーカドー八王子,東京都八王子市狭間町1462-1,35.638045,139.293491
primagi,東京都,イトーヨーカドー武蔵境,東京都武蔵野市境南町2-2-20,35.701170,139.545662
primagi,東京都,イトーヨーカドー武蔵小金井,東京都小金井市本町6-14-9,35.700445,139.504936
primagi,東京都,イトーヨーカドー木場,東京都江東区木場1-5-30,35.665535,139.804847
primagi,東京都,キッズトレイン永山,東京都多摩市永山1-4ｸﾞﾘﾅｰﾄﾞ永山3階,35.628974,139.448110
primagi,東京都,キデイランド吉祥寺,東京都武蔵野市吉祥寺本町1-11-5,35.705077,139.579677
primagi,東京都,キャッツアイ西葛西,東京都江戸川区西葛西4-2-28 ｻﾆｰﾓｰﾙ西葛西店3F,35.668172,139.861661
primagi,東京都,クラブセガ自由ヶ丘,東京都目黒区自由ヶ丘2-10-9,35.608210,139.667491
primagi,東京都,ゲームグース武蔵小山,東京都品川区小山3-22-19,35.619042,139.705381
primagi,東京都,ザ・ビッグ昭島アミューズパーク,東京都昭島市宮沢町500-1ｻﾞ･ﾋﾞｯｸﾞ昭島店3階,35.716430,139.372926
primagi,東京都,サンポップマチヤ,東京都荒川区荒川7-50-9,35.742439,139.780784
primagi,東京都,シルクハット蒲田西口,東京都大田区西蒲田7-2-3第二醍醐ﾋﾞﾙ地下1階~2階,35.563082,139.715928
primagi,東京都,シルクハット八王子,東京都八王子市旭町2-5八王子ﾂｲﾝﾀﾜｰﾋﾞﾙ3階,35.656412,139.338430
primagi,東京都,セガワールド葛西,東京都江戸川区東葛西9-3-3 イトーヨーカドー3F,35.651932,139.883049
primagi,東京都,セガ赤羽駅前,東京都北区赤羽1-2-4,35.778305,139.721487
primagi,東京都,セガ竹の塚,東京都足立区竹の塚6丁目8番6号 ﾋﾟｰくんPlaza-B,35.794743,139.792389
primagi,東京都,セガ東京ドームシティ,東京都文京区後楽1-3-61,35.703983,139.753688
primagi,東京都,セガ南町田グランベリーパークキッズディスカバリー,東京都町田市鶴間3丁目4-1 キッズディスカバリー2階E201区画,35.508779,139.470088
primagi,東京都,ソユーザウルスワールド 大森,東京都大田区大森北二丁目13-1ｲﾄｰﾖｰｶﾄﾞｰ大森店3F,35.586558,139.732924
primagi,東京都,ソユープレイランドソピア 南大沢,東京都八王子市南大沢二丁目28-1ｲﾄｰﾖｰｶﾄﾞｰ南大沢店3F,35.613166,139.379419
primagi,東京都,ソユープレイランドソピア 八王子,東京都八王子市狭間町1462-1ｲﾄｰﾖｰｶﾄﾞｰ八王子店3F,35.637843,139.293554
primagi,東京都,ダイエー西台,東京都板橋区蓮根3-8-12,35.786403,139.674788
