series,prefecture,name,address,latitude,longitude,group
primagi,栃木県,GiGO宇都宮,栃木県宇都宮市東宿郷5-1-7,36.558227,139.908884,1
primagi,栃木県,GiGO西那須野,栃木県那須塩原市南郷屋2-106-27,36.895073,139.982323,1
primagi,栃木県,namcoイオン栃木店,栃木県栃木市箱森町37-9ｲｵﾝ栃木店2F,36.394951,139.723957,1
primagi,栃木県,namcoフェドラP&D佐野店,栃木県佐野市高萩町1340,36.297342,139.605529,1
primagi,栃木県,namcoロブレ小山店,栃木県小山市中央町3-7-1ﾛﾌﾞﾚ小山店4階,36.312550,139.804928,1
primagi,栃木県,PALO石橋,栃木県下野市下古山3362-1 ﾖｰｸﾀｳﾝ,36.468504,139.868326,1
primagi,栃木県,PALO足利,栃木県足利市朝倉町2-21-16 ﾖｰｸﾀｳﾝ足利店1F,36.316329,139.445507,1
primagi,栃木県,アドアーズアシコタウンあしかが,栃木県足利市大月町3番地2 ｱｼｺﾀｳﾝあしかが1階,36.335963,139.476992,1
primagi,栃木県,アピタ足利,栃木県足利市朝倉町245,36.319920,139.450334,1
primagi,栃木県,アピナ小山,栃木県小山市駅南町4-27-18,36.300375,139.809231,2
primagi,栃木県,イトーヨーカドー宇都宮,栃木県宇都宮市陽東6-2-1,36.555058,139.928244,1
primagi,栃木県,スコナランドトライアル宇都宮,栃木県宇都宮市睦町5-5ｽｰﾊﾟｰｾﾝﾀｰﾄﾗｲｱﾙ宇都宮店2Ｆ,36.561868,139.862886,1
primagi,栃木県,タイトーFステーション トナリエ宇都宮,栃木県宇都宮市駅前通り1-4-6 ﾄﾅﾘｴ宇都宮B1階,36.560214,139.896968,1
primagi,栃木県,タイトーFステーション 小山,栃木県小山市喜沢1475番地,36.333259,139.808644,1
primagi,栃木県,タイトーステーション イオンモール佐野新都市,栃木県佐野市高萩町1324-1,36.299642,139.606642,1
primagi,栃木県,タイトーステーション 宇都宮ベルモール,栃木県宇都宮市陽東6丁目2-1,36.555058,139.928244,1
primagi,栃木県,テクモピアパルテロン宇都宮,栃木県宇都宮市今泉町237 福田屋ｼｮｯﾋﾟﾝｸﾞﾌﾟﾗｻﾞ宇都宮店2F,36.573626,139.900708,1
primagi,栃木県,テクモピアロックダムインターパーク,栃木県宇都宮市ｲﾝﾀｰﾊﾟｰｸ6-1-1 FKDｼｮﾋﾟﾝｸﾞﾓｰﾙｲﾝﾀｰﾊﾟｰｸ店2階,36.490532,139.906700,1
primagi,栃木県,トイセルタウンおもちゃのまち本店,栃木県下都賀郡壬生町おもちゃのまち1-2-20,36.463468,139.836692,1
primagi,栃木県,ドラマ足利,栃木県足利市栃木県足利市朝倉町244-1,36.322037,139.450652,1
primagi,栃木県,プラボ宇都宮店,栃木県宇都宮市簗瀬町1606番地1P&Dﾋﾞﾙ,36.543944,139.891517,2
primagi,栃木県,モーリーファンタジーさくら,栃木県さくら市桜野1555-1 ｲｵﾝSCさくら店1階,36.688097,139.980374,1
primagi,栃木県,モーリーファンタジー今市,栃木県日光市豊田字若林79-1 ｲｵﾝ今市店2階,36.730527,139.703946,1
primagi,栃木県,モーリーファンタジー小山,栃木県小山市中久喜1467-1 ｲｵﾝ小山店2階,36.321766,139.840902,1
primagi,栃木県,モーリーファンタジー真岡,栃木県真岡市台町2668 ｲｵﾝSC真岡店1階,36.430794,140.000231,1
primagi,栃木県,モーリーファンタジー那須塩原,栃木県那須塩原市島方455 ｲｵﾝSC那須塩原店1階,36.929791,140.005152,2
primagi,栃木県,ヨドバシカメラマルチメディア宇都宮,栃木県宇都宮市駅前通り1-4-6 宇都宮西口ﾋﾞﾙ,36.560507,139.897055,1
