series,prefecture,name,address,latitude,longitude
primagi,沖縄県,namcoイオンとよみショッピングセンター店,沖縄県豊見城市根差部710ｲｵﾝとよみSC,26.189484,127.687503
primagi,沖縄県,namcoイオン具志川店,沖縄県うるま市字前原幸崎原303番地ｲｵﾝ具志川SC2F,26.338149,127.844674
primagi,沖縄県,namcoサンエー浦添西海岸パルコシティ店,沖縄県浦添市西洲三丁目1番1ｻﾝｴｰ浦添西海岸ﾊﾟﾙｺｼﾃｨ3F,26.262980,127.699049
primagi,沖縄県,namco那覇メインプレイス店,沖縄県那覇市おもろまち4丁目4番地9号ｻﾝｴｰ那覇ﾒｲﾝﾌﾟﾚｲｽ内2F,26.225660,127.695057
primagi,沖縄県,トイザらス那覇新都心,沖縄県那覇市おもろまち3-3あっぷるﾀｳﾝ1F,26.228310,127.691948
primagi,沖縄県,モーリーファンタジーライカム,沖縄県中頭郡北中城村字ﾗｲｶﾑ1番地 ｲｵﾝﾗｲｶﾑ店4階,26.315379,127.794467
primagi,沖縄県,モーリーファンタジー浦添,沖縄県浦添市城間4-7-1 浦添ｼｮｯﾋﾟﾝｸﾞｾﾝﾀｰ3F,26.258554,127.712596
primagi,沖縄県,モーリーファンタジー具志川,沖縄県うるま市前原幸崎原303 ｲｵﾝ具志川店2階,26.338180,127.844476
primagi,沖縄県,モーリーファンタジー糸満,沖縄県糸満市字兼城400 ｻﾝﾌﾟﾗｻﾞいとまん店1F,26.138433,127.661109
primagi,沖縄県,モーリーファンタジー那覇,沖縄県那覇市金城5-10-2 ｲｵﾝ那覇店3階,26.196956,127.665768
primagi,沖縄県,モーリーファンタジー南風原,沖縄県島尻郡南風原町字宮平264 ｲｵﾝ南風原店2階,26.200957,127.737887
primagi,沖縄県,モーリーファンタジー北谷,沖縄県中頭郡北谷町字美浜8-3 ｲｵﾝ北谷店2階,26.314390,127.757203
primagi,沖縄県,モーリーファンタジー名護,沖縄県名護市字名護見取川原4472 ｲｵﾝ名護店1階,26.609907,127.984913
