series,prefecture,name,address
primagi,熊本県,namcoWC南熊本店,熊本県熊本市中央区九品寺6丁目9番1
primagi,熊本県,namcoイオンモール宇城店,熊本県宇城市小川町河江1-1ｲｵﾝﾓｰﾙ宇城2F
primagi,熊本県,namcoサクラマチクマモト店,熊本県熊本市中央区桜町3-10ｻｸﾗﾏﾁｸﾏﾓﾄ3F
primagi,熊本県,namcoゆめタウン光の森店,熊本県菊池郡菊陽町光の森7丁目39番1ゆめﾀｳﾝ光の森南館3F
primagi,熊本県,THE 3RD PLANET 下通り,熊本県熊本市中央区手取本町4-12
primagi,熊本県,サンゲームス熊本インタープラザ,熊本県熊本市東区御領8-4-82
primagi,熊本県,タイトーステーション ゆめタウン光の森,熊本県菊池郡菊陽町光の森7丁目33番地1 ゆめﾀｳﾝ光の森2F
primagi,熊本県,タイトーステーション ゆめタウン八代,熊本県八代市建馬町3-1 ゆめﾀｳﾝ八代2F
primagi,熊本県,トイザらス熊本,熊本県熊本市上南部2-2-2ゆめﾀｳﾝｻﾝﾋﾟｱﾝ1F
primagi,熊本県,トイザらス熊本南,熊本県宇城市小川町河江1-1
primagi,熊本県,パスカワールド宇土,熊本県宇土市善道寺町綾織95 宇土ｼﾃｨﾓｰﾙ2F
primagi,熊本県,モーリーファンタジー熊本,熊本県上益城郡嘉島町上島字長池2232 ｲｵﾝ熊本店2階
primagi,熊本県,モーリーファンタジー熊本中央,熊本県熊本市中央区大江4-2-1 ｲｵﾝ熊本中央店2F
primagi,熊本県,モーリーファンタジー天草,熊本県天草市亀場町食場後山下740 ｲｵﾝ天草店2階
primagi,熊本県,モーリーファンタジー田崎,熊本県熊本市西区田崎町字下寄380 ｲｵﾝﾀｳﾝ田崎店1階
primagi,熊本県,モーリーファンタジー八代,熊本県八代市沖町六-割3987-3 ｲｵﾝ八代店2階
primagi,熊本県,ゆめタウンサンピアンアミューズパーク,熊本県熊本市東区熊本県熊本市東区上南部二丁目2番2号ゆめﾀｳﾝｻﾝﾋﾟｱﾝ3F
