series,prefecture,name,address,latitude,longitude,group
primagi,石川県,GiGOアルプラザ金沢,石川県金沢市諸江町３０－１,36.590795,136.645661,1
primagi,石川県,GiGOイオンタウン金沢示野,石川県金沢市戸板西2-1,36.579065,136.615974,1
primagi,石川県,MIRAINO イオンモール白山,石川県白山市横江町土地区画整理事業施行地区内1街区 ｲｵﾝﾓｰﾙ白山3階,36.544466,136.581866,2
primagi,石川県,namcoイオンモールかほく店,石川県かほく市内日角ﾀ25ｲｵﾝﾓｰﾙかほく内,36.709696,136.701575,1
primagi,石川県,アピタ金沢,石川県金沢市中村町10番20号,36.558656,136.642937,1
primagi,石川県,アピタ松任,石川県白山市幸明町280,36.516165,136.576905,1
primagi,石川県,アピタ松任店ゲームコーナー,石川県白山市幸明町280番地ｱﾋﾟﾀ松任店2F,36.516588,136.577240,1
primagi,石川県,アピナ野々市,石川県野々市市白山町4-1 ｲｵﾝﾀｳﾝ野々市店内,36.526848,136.613098,2
primagi,石川県,アミュージアム小松,石川県小松市園町ﾊ23-1ｱﾙ･ﾌﾟﾗｻﾞ小松店2F,36.406438,136.460598,1
primagi,石川県,アミュージアム津幡,石川県河北郡津幡町北中条1丁目1番地ｱﾙ･ﾌﾟﾗｻﾞ津幡2F,36.661316,136.725625,1
primagi,石川県,アミューズアイランド金沢店,石川県金沢市福久2-58　イオン金沢店３F,36.617806,136.681590,1
primagi,石川県,アル・プラザ金沢,石川県金沢市諸江町30-1,36.590795,136.645661,1
primagi,石川県,タイトーステーション 金沢,石川県金沢市片町2-1-7 宇都宮片町ﾋﾞﾙ1F,36.561331,136.653057,1
primagi,石川県,モーリーファンタジーかほく,石川県かほく市内日角地内ﾀ25 ｲｵﾝかほく店2階,36.709696,136.701575,1
primagi,石川県,モーリーファンタジー新小松,石川県小松市沖周辺土地区画整理事業地内仮換地20街区 ｲｵﾝﾓｰﾙ3F,36.394954,136.461894,1
primagi,石川県,モーリーファンタジー杜の里,石川県金沢市もりの里1-70 ｲｵﾝ杜の里店2階,36.551636,136.689994,1
primagi,石川県,モーリーファンタジー白山,石川県白山市横江町5001 イオンモール白山3階,36.544466,136.581866,1
primagi,石川県,レジャーランド藤江新館,石川県金沢市藤江南2-105,36.583659,136.620679,1
primagi,石川県,金沢メトロポリス,石川県金沢市無量寺4丁目121番地1,36.601170,136.613968,1
primagi,石川県,手取フィッシュランド,石川県能美市粟生町ﾂ58 手取ﾌｨｯｼｭﾗﾝﾄﾞ内1Fｹﾞｰﾑｺｰﾅｰ,36.459063,136.509286,1
