series,prefecture,name,address,latitude,longitude,group
primagi,神奈川県,GiGOイトーヨーカドー古淵,神奈川県相模原市古淵3-13-33 ｲﾄｰﾖｰｶﾄﾞｰ3F,35.553068,139.418659,1
primagi,神奈川県,GiGOダイナシティ小田原,神奈川県小田原市中里296-1 ﾀﾞｲﾅｼﾃｨｲｰｽﾄﾓｰﾙｲﾄｰﾖｰｶ堂3F,35.281716,139.188598,1
primagi,神奈川県,GiGO綱島,神奈川県横浜市港北区綱島西2-6-29 城田ﾋﾞﾙ3F,35.536422,139.632853,1
primagi,神奈川県,GiGO新杉田,神奈川県横浜市磯子区杉田1-1-1 らびすた新杉田2F,35.385778,139.619152,1
primagi,神奈川県,GiGO相模原ラクーン,神奈川県相模原市中央区小山1-1-14,35.584104,139.362465,1
primagi,神奈川県,LABI上大岡,神奈川県横浜市港南区上大岡西1-18-5,35.407320,139.594902,1
primagi,神奈川県,namcoOSC湘南シティ店,神奈川県平塚市代官町33番地1OSC湘南ｼﾃｨ内,35.328419,139.358211,1
primagi,神奈川県,namcoイオンモール座間店,神奈川県座間市広野台2丁目10-4ｲｵﾝﾓｰﾙ座間店3F,35.501227,139.425641,1
primagi,神奈川県,namcoコースカベイサイドストアーズ(横須賀),神奈川県横須賀市本町2-1-12ｺｰｽｶﾍﾞｲｻｲﾄﾞｽﾄｱｰｽﾞ5F,35.283274,139.662658,1
primagi,神奈川県,namcoトレッサ横浜店,神奈川県横浜市港北区師岡町700番地ﾄﾚｯｻ横浜3F,35.525435,139.645783,2
primagi,神奈川県,namcoラゾーナ川崎店,神奈川県川崎市幸区堀川町72-1LAZONA川崎ﾌﾟﾗｻﾞ4階,35.533099,139.695894,2
primagi,神奈川県,namco伊勢佐木町店,神奈川県横浜市中区伊勢佐木町3-95,35.442807,139.630248,1
primagi,神奈川県,namco横浜ワールドポーターズ店,神奈川県横浜市中区新港二丁目2番1号横浜ﾜｰﾙﾄﾞﾎﾟｰﾀｰｽﾞ5F,35.454006,139.638933,1
primagi,神奈川県,namco港北TOKYU S.C.店,神奈川県横浜市都筑区茅ｹ崎中央5-1港北TOKYUS.C.,35.544222,139.572239,2
primagi,神奈川県,namco都筑店,神奈川県横浜市都筑区川和町846-1,35.519853,139.553525,1
primagi,神奈川県,あそびパークPLUS 小田原ダイナシティ店,神奈川県小田原市中里208,35.284248,139.185474,1
primagi,神奈川県,アドアーズ橋本,神奈川県相模原市緑区橋本3-3-1 SING橋本2階,35.594300,139.349214,1
primagi,神奈川県,アニメガ×ソフマップ横浜ビブレ店,神奈川県横浜市西区南幸2-15-13 横浜ﾋﾞﾌﾞﾚ7F,35.464951,139.618251,1
primagi,神奈川県,アピタ戸塚,神奈川県横浜市戸塚区上倉田町769-1,35.398961,139.537466,1
primagi,神奈川県,アピタ長津田,神奈川県横浜市緑区長津田みなみ台4-7-1,35.518572,139.498955,1
primagi,神奈川県,アピナ橋本,神奈川県相模原市緑区西橋本5-1-1 ﾗ･ﾌﾛｰﾙ駐車場棟1F,35.597229,139.337241,1
primagi,神奈川県,アピナ山下公園,神奈川県横浜市中区新山下1丁目2番8号 港山下ﾅﾅｲﾛﾋﾞﾙ2F,35.442352,139.654383,1
primagi,神奈川県,イオン新百合ヶ丘ファミリーパーク,神奈川県川崎市麻生区上麻生1-19ｲｵﾝ新百合ヶ丘店4F,35.602486,139.506988,1
primagi,神奈川県,イオン新百合丘,神奈川県川崎市麻生区上麻生1-19,35.602830,139.507024,1
primagi,神奈川県,イトーヨーカドーアリオ橋本,神奈川県相模原市緑区大山町1-22,35.591020,139.349769,1
primagi,神奈川県,イトーヨーカドーグランツリー武蔵小杉,神奈川県川崎市中原区新丸子東3-1135,35.573825,139.660319,1
primagi,神奈川県,イトーヨーカドーたまプラーザ,神奈川県横浜市青葉区美しが丘1-6-1,35.583053,139.554037,1
primagi,神奈川県,イトーヨーカドーららぽーと横浜,神奈川県横浜市都筑区池辺町4035-1,35.516675,139.565080,1
primagi,神奈川県,イトーヨーカドー伊勢原,神奈川県伊勢原市桜台1-8-1,35.394945,139.314965,1
primagi,神奈川県,イトーヨーカドー横浜別所,神奈川県横浜市南区別所1-14-1,35.416220,139.594665,1
primagi,神奈川県,イトーヨーカドー溝ノ口,神奈川県川崎市高津区久本3-6-20,35.599042,139.615726,1
primagi,神奈川県,イトーヨーカドー綱島,神奈川県横浜市港北区綱島西2-8-1,35.535404,139.631837,1
primagi,神奈川県,イトーヨーカドー小田原,神奈川県小田原市中里296-1,35.281615,139.188690,1
primagi,神奈川県,イトーヨーカドー湘南台,神奈川県藤沢市石川6-2-1,35.392307,139.446759,1
primagi,神奈川県,イトーヨーカドー新百合ヶ丘,神奈川県川崎市麻生区上麻生1-4-1,35.603164,139.509389,1
primagi,神奈川県,イトーヨーカドー大船,神奈川県鎌倉市大船6-1-1,35.353117,139.538282,1
primagi,神奈川県,イトーヨーカドー大和鶴間,神奈川県大和市下鶴間1-3-1,35.489985,139.458001,1
primagi,神奈川県,イトーヨーカドー藤沢,神奈川県藤沢市鵠沼石上1-10-1,35.334986,139.489035,1
primagi,神奈川県,イトーヨーカドー能見台,神奈川県横浜市金沢区能見台東3-1,35.358486,139.627243,1
primagi,神奈川県,イトーヨーカドー立場,神奈川県横浜市泉区中田西1-1-15,35.413133,139.500483,1
primagi,神奈川県,キッズトレインなっつべりぃ,神奈川県川崎市川崎区港町１２－１イトーヨーカドー川崎港町店2F,35.534198,139.718931,1
primagi,神奈川県,キッズトレイン小田原,神奈川県小田原市中里208 ﾀﾞｲﾅｼﾃｨｰｳｪｽﾄ4F,35.284110,139.185235,1
primagi,神奈川県,キッズトレイン相模原,神奈川県相模原市相模原市南区松ヶ枝町17-1,35.515367,139.424990,1
primagi,神奈川県,キデイランド港北ニュータウン,神奈川県横浜市都筑区茅ｹ崎中央5-1港北東急ｼｮｯﾋﾟﾝｸﾞｾﾝﾀｰ2F,35.544222,139.572239,1
primagi,神奈川県,サープラ横浜あそびタウン,神奈川県横浜市都筑区中川中央1-25-1 ﾉｰｽﾎﾟｰﾄ･ﾓｰﾙ6F,35.552098,139.579414,2
primagi,神奈川県,ジアス上大岡,神奈川県横浜市港南区上大岡2-1-28 赤い風船ﾋﾞﾙ1F,35.406506,139.596211,1
primagi,神奈川県,シルクハット横須賀中央,神奈川県横須賀市若松町1-5横須賀ﾌﾟﾗｲﾑ2階,35.280092,139.670062,1
primagi,神奈川県,シルクハット川崎ダイス,神奈川県川崎市川崎区駅前本町8番地ﾀﾞｲｽﾋﾞﾙ地下2階,35.531165,139.700135,1
primagi,神奈川県,シルクハット川崎モアーズ,神奈川県川崎市川崎区駅前本町7番地岡田屋ﾓｱｰｽﾞ1，2階,35.530407,139.699749,1
primagi,神奈川県,シルクハット大船,神奈川県鎌倉市大船1-24大船駅前ﾋﾞﾙ1~3階,35.353280,139.532574,1
primagi,神奈川県,スコナランド金沢シーサイド,神奈川県横浜市金沢区並木2-13-13F,35.362172,139.641427,1
primagi,神奈川県,ソユーゲームフィールド 湘南,神奈川県藤沢市辻堂新町四丁目1番1号湘南ﾓｰﾙFILL2F,35.338928,139.464537,1
primagi,神奈川県,ソユーゲームフィールド上大岡,神奈川県横浜市港南区上大岡西一丁目18番3号ﾐｵｶﾘｽﾄ館6F,35.407780,139.595299,1
primagi,神奈川県,タイトーFステーション イオン伊勢原,神奈川県伊勢原市白根630-1 ｲｵﾝ伊勢原店3F,35.397337,139.295559,1
primagi,神奈川県,タイトーステーション イトーヨーカドー横浜別所,神奈川県横浜市南区別所1-14-1 ｲﾄｰﾖｰｶﾄﾞｰ横浜別所店2F,35.415908,139.594784,1
primagi,神奈川県,タイトーステーション 横浜西口五番街,神奈川県横浜市西区南幸1-12-97階,35.464701,139.619470,2
primagi,神奈川県,タイトーステーション 海老名ビナウォーク,神奈川県海老名市中央1ｰ18-1 ﾋﾞﾅｳｫｰｸ六番館2F,35.452684,139.395603,2
primagi,神奈川県,タイトーステーション 戸塚西口,神奈川県横浜市戸塚区戸塚町4023番地,35.399552,139.531812,1
primagi,神奈川県,タイトーステーション 溝の口,神奈川県川崎市高津区溝口1-11-8 OKKA634ﾋﾞﾙ3階,35.600093,139.612459,2
primagi,神奈川県,タイトーステーション 小田原シティーモール,神奈川県小田原市前川120 ﾌﾚｽﾎﾟ小田原ｼﾃｨｰﾓｰﾙ2F,35.281640,139.193896,2
primagi,神奈川県,タイトーステーション 川崎 ラ チッタデッラ店,神奈川県川崎市川崎区小川町１－１８,35.529007,139.698078,1
primagi,神奈川県,タイトーステーション 藤沢,神奈川県藤沢市南藤沢21-1,35.337530,139.487683,2
primagi,神奈川県,ドラマ港北インター,神奈川県横浜市都筑区東方町321-6,35.519150,139.584585,1
primagi,神奈川県,ドラマ藤沢,神奈川県藤沢市神奈川県藤沢市本藤沢5-6-8,35.357548,139.468052,1
primagi,神奈川県,ハローズガーデン綾瀬,神奈川県綾瀬市深谷中1-1-1 綾瀬ﾀｳﾝﾋﾙｽﾞSC2F,35.436740,139.428950,1
primagi,神奈川県,ハローズガーデン海老名,神奈川県海老名市中央2-4-1 ｲｵﾝ海老名店2F,35.450226,139.392892,1
primagi,神奈川県,ハローズガーデン厚木,神奈川県厚木市中町1-5-10 厚木ｶﾞｰﾃﾞﾝｼﾃｨﾋﾞﾙ5F,35.442136,139.366670,1
primagi,神奈川県,ハローズガーデン湘南,神奈川県藤沢市遠藤字滝ﾉ沢698-10 湘南とうきゅう2F,35.371491,139.442166,1
primagi,神奈川県,ハローズガーデン東神奈川,神奈川県横浜市神奈川区富家町1 ｲｵﾝ東神奈川店4F,35.479928,139.632946,1
primagi,神奈川県,ビックカメララゾーナ川崎,神奈川県川崎市幸区堀川町72-1 ﾗｿﾞｰﾅ川崎ﾌﾟﾗｻﾞ1F,35.532520,139.695871,2
primagi,神奈川県,ビックカメラ新横浜,神奈川県横浜市港北区新横浜2-100-45 ｷｭｰﾋﾞｯｸﾌﾟﾗｻﾞ新横浜9F,35.508009,139.617544,1
primagi,神奈川県,ビックカメラ相模大野,神奈川県相模原市南区相模大野3-8-1 相模大野ｽﾃｰｼｮﾝｽｸｴｱB館,35.531512,139.437237,1
primagi,神奈川県,ビックカメラ藤沢,神奈川県藤沢市藤沢559 6F,35.339864,139.488617,1
primagi,神奈川県,ファンタスティックジャーニー横浜,神奈川県横浜市都筑区池辺町4035-1 ｲﾄｰﾖｰｶﾄﾞｰららぽｰと横浜店2F,35.518219,139.567043,1
primagi,神奈川県,プラサカプコン磯子,神奈川県横須賀市磯子区磯子1-2-1 ﾏﾘｺﾑ磯子ｼｮｯﾋﾟﾝｸﾞｾﾝﾀｰ2F,35.407324,139.612240,1
