series,prefecture,name,address,latitude,longitude,group
primagi,福井県,GiGO武生,福井県越前市新町3-13-4,35.905223,136.153446,1
primagi,福井県,namcoMEGAドン・キホーテUNY福井店,福井県福井市飯塚町11-111MEGAﾄﾞﾝ･ｷﾎｰﾃUNY福井店2F,36.065990,136.183223,1
primagi,福井県,namcoフェアモール福井大和田店,福井県福井市大和田2-1230ｱﾋﾟﾀ福井大和田店2F,36.096918,136.250414,1
primagi,福井県,PALO武生,福井県越前市横市町28-14-1 ｴｽｶﾓｰﾙ武生楽市店2F,35.907014,136.192975,1
primagi,福井県,アル・プラザアミ,福井県坂井市春江町随応寺16-11,36.134842,136.219025,1
primagi,福井県,モーリーファンタジー鯖江,福井県鯖江市下河端16 字下町16-1ｱﾙ･ﾌﾟﾗｻﾞ鯖江店2階,35.969307,136.189513,1
primagi,福井県,モーリーファンタジー福井,福井県福井市松城町12-7 ﾊﾟﾘｵCITY2F,36.062257,136.240745,1
primagi,福井県,レジャーランドワイプラザ,福井県福井市新保町7-9-1ﾔｽｻｷﾜｲﾌﾟﾗｻﾞB棟2F,36.086310,136.249318,1
primagi,福井県,レッツワクワク エルパ,福井県福井市大和田町2丁目1212番地 ﾗﾌﾞﾘｰﾊﾟｰﾄﾅLpa2F,36.095593,136.249644,1
primagi,福井県,レッツワクワク ベル,福井県福井市花堂南2丁目16-1 ｼｮｯﾋﾟﾝｸﾞｼﾃｨﾍﾞﾙ2F,36.033392,136.212143,1
