series,prefecture,name,address
primagi,福岡県,ABCパレード博多,福岡県福岡市東区東浜1-1-1
primagi,福岡県,namco博多バスターミナル店,福岡県福岡市博多区博多駅中央街2-1 博多ﾊﾞｽﾀｰﾐﾅﾙ7F
primagi,福岡県,アニメガ×ソフマップ天神1号館,福岡県福岡市中央区今泉1-25-1
primagi,福岡県,タイトーFステーション ヨドバシ博多,福岡県福岡市博多区博多駅中央街6-12
primagi,福岡県,タイトーステーション キャナルシティ博多,福岡県福岡市博多区住吉1-2-22
primagi,福岡県,タイトーステーション サニーサイドモール小倉,福岡県北九州市小倉南区下曽根新町10-1
primagi,福岡県,タイトーステーション マリノア,福岡県福岡市西区小戸2-12-30
primagi,福岡県,タイトーステーション リバーウォーク,福岡県北九州市小倉北区室町1-1-1
primagi,福岡県,タイトーステーション 福岡天神,福岡県福岡市中央区天神2-6-35
primagi,福岡県,トイザらス久留米,福岡県久留米市新合川13-30
primagi,福岡県,パスカランド 黒崎,福岡県北九州市八幡西区西曲町3-1
primagi,福岡県,ハムリーズ キャナルシティ博多店,福岡県福岡市博多区住吉1丁目2-22 ｷｬﾅﾙｼﾃｨ博多 OPA内ｻｳｽﾋﾞﾙB1F
primagi,福岡県,ふぇすたらんど久留米,福岡県久留米市野中町1411-1
primagi,福岡県,プラボ久留米店,福岡県久留米市新合川1丁目2番1号 ゆめﾀｳﾝ久留米2階
primagi,福岡県,ペリカン行橋,福岡県行橋市西宮市3-8-1 ゆめﾀｳﾝ行橋内2F
primagi,福岡県,モーリーファンタジーマリナタウン,福岡県福岡市西区豊浜3-1-10
primagi,福岡県,モーリーファンタジー原,福岡県福岡市早良区原6-27-8
primagi,福岡県,モーリーファンタジー香椎浜,福岡県福岡市東区香椎浜3-12-1
primagi,福岡県,モーリーファンタジー笹丘,福岡県福岡市中央区笹丘1-28-74
primagi,福岡県,モーリーファンタジー大木,福岡県三潴郡大木町蛭池1200
primagi,福岡県,モーリーファンタジー大野城,福岡県大野城市錦町4-1-1
primagi,福岡県,モーリーファンタジー筑後,福岡県筑後市大字上北島字井原口1259-1
primagi,福岡県,モーリーファンタジー筑紫野,福岡県筑紫野市大字立明寺434-1
primagi,福岡県,モーリーファンタジー直方,福岡県直方市湯野原2-1-1
primagi,福岡県,モーリーファンタジー八幡東,福岡県北九州市八幡東区東田3-2-102
primagi,福岡県,モーリーファンタジー福岡,福岡県糟屋郡粕屋町大字酒殿字老ﾉ木192-1
primagi,福岡県,モーリーファンタジー福津,福岡県福津市日蒔野6-16-1
primagi,福岡県,遊遊パークフォレオ博多,福岡県福岡市博多区東那珂1丁目14番46号
