series,prefecture,name,address,latitude,longitude,group
primagi,福島県,GiGO勿来,福島県いわき市勿来町四沢字鍵田13,36.889192,140.784575,1
primagi,福島県,namcoイオンタウン郡山店,福島県郡山市松木町2-88ｲｵﾝﾀｳﾝ郡山,37.389948,140.388889,1
primagi,福島県,namco郡山西部プラザ店,福島県郡山市西ﾉ内2丁目11-35西部ﾌﾟﾗｻﾞ内 西部ﾌﾟﾗｻﾞ内,37.407322,140.362808,1
primagi,福島県,PALO喜多方,福島県喜多方市字押切南2-42-1 1F,37.646800,139.859584,1
primagi,福島県,SOYU ENTERTAINMENT STUDIO須賀川,福島県須賀川市古河105番地ｲｵﾝﾀｳﾝ須賀川B棟内,37.298302,140.385774,2
primagi,福島県,THE 3RD PLANET ピボット福島,福島県福島市栄町1-1 ﾊﾟﾜｰｼﾃｨﾋﾟﾎﾞｯﾄ,37.754528,140.458769,2
primagi,福島県,イトーヨーカドー郡山,福島県郡山市西ﾉ内2-11-40,37.407629,140.364110,1
primagi,福島県,セガワールド福島,福島県福島市本内字中井１－２,37.785235,140.487567,1
primagi,福島県,セガ小名浜,福島県いわき市小名浜林城字塚前18-1,36.985935,140.897165,1
primagi,福島県,セガ日和田,福島県郡山市日和田町字西中島7-10,37.448214,140.380429,1
primagi,福島県,ソユーゲームフィールド小名浜,福島県いわき市小名浜字辰巳町79番地ｲｵﾝﾓｰﾙいわき小名浜3階,36.946750,140.903736,1
primagi,福島県,タイトーFステーション 郡山アティ,福島県郡山市駅前1-16-7,37.396910,140.387481,1
primagi,福島県,タイトーFステーション郡山オリエントパーク,福島県郡山市安積町荒井字大久保35-1,37.374482,140.348763,1
primagi,福島県,トイザらス福島,福島県福島市森合字清水7ｺｰﾌﾟﾏｰﾄいずみ2F,37.772103,140.441450,1
primagi,福島県,モーリーファンタジーいわき,福島県いわき市平字三倉68-1 ｲｵﾝいわき店3階,37.050562,140.898491,2
primagi,福島県,モーリーファンタジーいわき小名浜,福島県いわき市小名浜港背後地土地区画整理事業地内 ｲｵﾝ4F,36.943439,140.905227,2
primagi,福島県,モーリーファンタジー鏡石,福島県岩瀬郡鏡石町桜岡375-9 ｲｵﾝSC鏡石店1階,37.242639,140.333815,1
primagi,福島県,モーリーファンタジー郡山フェスタ,福島県郡山市日和田町字小原1 ｲｵﾝ郡山ﾌｪｽﾀ店1階,37.444696,140.376535,1
primagi,福島県,モーリーファンタジー相馬,福島県相馬市馬場野字雨田51 ｲｵﾝ相馬店2階,37.787727,140.930426,1
primagi,福島県,モーリーファンタジー南相馬,福島県南相馬市原町区字大木戸金場77,37.637188,140.943419,1
primagi,福島県,モーリーファンタジー白河西郷,福島県西白河郡西郷村大字小田倉字岩下11-1 ｲｵﾝ白河西郷店2階,37.121064,140.177622,1
primagi,福島県,モーリーファンタジー福島,福島県福島市南矢野目字西荒田50-の17 ｲｵﾝ福島店3階,37.788198,140.457624,1
primagi,福島県,ヨドバシカメラ郡山駅前,福島県郡山市駅前1-16-7,37.396910,140.387481,1
