series,prefecture,name,address,latitude,longitude,group
primagi,秋田県,AN.KIN.TAN五城目店,秋田県南秋田郡五城目町大字大川西野字田屋前138 イオンスーパーセンター五城目店内,39.943897,140.111535,1
primagi,秋田県,Game Field 鷹巣,秋田県北秋田市栄字前網76いとく鷹巣ｼｮｯﾋﾟﾝｸﾞｾﾝﾀｰ内,40.232517,140.380233,1
primagi,秋田県,SOYU Game Field能代,秋田県能代市鰄渕字古屋布１番 イオンタウン能代内,40.188204,140.082125,1
primagi,秋田県,イオン土崎港,秋田県秋田市土崎港南2-3-41,39.746974,140.072870,1
primagi,秋田県,ゲームフィールド十文字,秋田県横手市十文字町仁井田字東22-1ｽｰﾊﾟｰﾓｰﾙﾗｯｷｰ内,39.215976,140.520702,1
primagi,秋田県,セガ秋田,秋田県秋田市茨島1-1-16,39.704216,140.104605,1
primagi,秋田県,ソユーゲームフィールド御所野,秋田県秋田市御所野地蔵田一丁目1番地1号ｲｵﾝﾓｰﾙ秋田2F,39.663041,140.160869,2
primagi,秋田県,ソユーゲームフィールド大館,秋田県大館市御成町3丁目7-58 いとく大館ショッピングセンター3階,40.280847,140.560379,1
primagi,秋田県,ソユープレイランドソピア いとく鹿角,秋田県鹿角市花輪字下夕町164-1いとく鹿角ｼｮｯﾋﾟﾝｸﾞｾﾝﾀｰ内,40.199597,140.792974,1
primagi,秋田県,ソユープレイランドソピアいとくアクロス能代,秋田県能代市字寺向70番地いとくｱｸﾛｽ能代店内,40.182367,140.053527,1
primagi,秋田県,ファンタジープラザ秋田,秋田県秋田市旭北錦町4-58ﾄﾞﾝ･ｷﾎｰﾃ秋田2F,39.714795,140.109377,1
primagi,秋田県,メルヘンランド大館,秋田県大館市御成町3丁目7-58 いとく大館ｼｮｯﾋﾟﾝｸﾞｾﾝﾀｰ3階,40.280803,140.560375,1
primagi,秋田県,モーリーファンタジー横手,秋田県横手市安田字向田147 ｲｵﾝ横手店2階,39.298556,140.553730,1
primagi,秋田県,モーリーファンタジー御所野,秋田県秋田市御所野地蔵田1-1-1 ｲｵﾝ御所野3F,39.662746,140.161974,1
primagi,秋田県,モーリーファンタジー秋田中央,秋田県秋田市楢山川口境5-11 ｲｵﾝ秋田中央店3階,39.704121,140.109522,1
primagi,秋田県,モーリーファンタジー大館,秋田県大館市大田面238 ｲｵﾝSC大館店1階,40.286259,140.577167,1
primagi,秋田県,モーリーファンタジー大曲,秋田県大仙市和合字坪立177 ｲｵﾝ大曲店2階,39.437695,140.509273,1
primagi,秋田県,モーリーファンタジー中仙,秋田県大仙市北長野字袴田188 ｲｵﾝ中仙店1階,39.551307,140.551439,1
primagi,秋田県,モーリーファンタジー能代,秋田県能代市柳町11-1 ｲｵﾝ能代店3階,40.209033,140.024650,1
primagi,秋田県,モーリーファンタジー本荘,秋田県由利本荘市石脇田中138番地,39.391634,140.027504,1
primagi,秋田県,リスチャイルド本荘店,秋田県由利本荘市石脇字田中138 イオンスーパーセンター本荘店内,39.391502,140.027493,1
primagi,秋田県,秋田OPAアミューズパーク,秋田県秋田市秋田県秋田市千秋久保田町4ｰ2秋田OPA内,39.717841,140.128159,1
