series,prefecture,name,address,latitude,longitude,group
primagi,群馬県,GiGOスマーク伊勢崎,群馬県伊勢崎市西小保方町368 ｽﾏｰｸ伊勢崎3F302区画,36.339699,139.232946,1
primagi,群馬県,GiGO館林,群馬県館林市小桑原町949-1,36.235177,139.520251,1
primagi,群馬県,GiGO沼田,群馬県沼田市下久屋町1100-1,36.656781,139.078042,1
primagi,群馬県,LABI 1 LIFE SELECT高崎,群馬県高崎市栄町1-1,36.323184,139.013948,1
primagi,群馬県,MEGAドン・キホーテ桐生,群馬県桐生市永楽町5-10,36.412457,139.335972,1
primagi,群馬県,namcoアカマル店,群馬県高崎市中尾町字鳥羽前44-1ｱｶﾏﾙ2F,36.370223,139.027431,1
primagi,群馬県,namcoけやきウォーク前橋店,群馬県前橋市文京町2-1-1けやきｳｫｰｸ前橋2F,36.379167,139.078056,2
primagi,群馬県,namco伊勢崎店,群馬県伊勢崎市宮子町3402-6,36.330290,139.164532,1
primagi,群馬県,THE 3RD PLANET 高崎,群馬県高崎市下和田町5-3-8 ﾒﾃﾞｨｱﾒｶﾞ高崎,36.319027,139.014053,1
primagi,群馬県,アピナ太田,群馬県太田市内ヶ島町907-1,36.282871,139.398348,1
primagi,群馬県,こころっこ新田,群馬県太田市新田市野井町592-13 ﾆｺﾓｰﾙ新田店内ﾌﾟﾚﾋﾞﾌﾟﾚｲﾗﾝﾄﾞ,36.303808,139.301729,1
primagi,群馬県,タイトーFステーション 前橋リリカ,群馬県前橋市国領町2-14-1 前橋ﾘﾘｶ2F,36.404695,139.067979,1
primagi,群馬県,ハローズガーデン伊勢崎東,群馬県伊勢崎市三室町5330 MEGAﾄﾞﾝ･ｷﾎｰﾃUNY伊勢崎東店2F,36.329329,139.233896,1
primagi,群馬県,ハローズガーデン高崎,群馬県高崎市矢中町字渕ﾉ内668-1 ｱﾋﾟﾀ高崎店2F,36.309821,139.054213,1
primagi,群馬県,ハローズガーデン前橋,群馬県前橋市文京町2-1-1 ｱﾋﾟﾀけやきｳｫｰｸ前橋店2F,36.379697,139.078625,1
primagi,群馬県,モーリーファンタジーガーデン前橋,群馬県前橋市小屋原町472-1 ｶﾞｰﾃﾞﾝ前橋1F,36.355895,139.129841,1
primagi,群馬県,モーリーファンタジーミスタマックス伊勢崎,群馬県伊勢崎市宮子町3556-1 ﾐｽﾀｰﾏｯｸｽ伊勢崎店1階,36.329295,139.151167,1
primagi,群馬県,モーリーファンタジー高崎,群馬県高崎市棟高町1400 ｲｵﾝ高崎店3階,36.389384,139.006997,1
primagi,群馬県,モーリーファンタジー倉賀野,群馬県高崎市倉賀野町4691-1 ﾐｽﾀｰﾏｯｸｽ倉賀野店1F,36.300421,139.055677,1
primagi,群馬県,モーリーファンタジー太田,群馬県太田市石原町81 ｲｵﾝ太田店2階,36.295487,139.400463,1
primagi,群馬県,レジャーランド伊勢崎,群馬県伊勢崎市連取町3066-1,36.318183,139.172415,1
primagi,群馬県,レジャーランド高崎駅東口,群馬県高崎市江木町333-1ACTﾋﾞﾙ2F,36.329653,139.014389,1
primagi,群馬県,レジャーランド太田,群馬県太田市西矢島町1622,36.270556,139.374200,1
primagi,群馬県,レジャーランド藤岡,群馬県藤岡市中2002-1,36.274437,139.071767,1
primagi,群馬県,宝島桐生,群馬県桐生市永楽町5-10MEGAﾄﾞﾝｷﾎｰﾃ桐生3階,36.412476,139.335905,1
primagi,群馬県,宝島大間々,群馬県みどり市大間々町大間々40さくらもｰる2F,36.413900,139.281400,1
