series,prefecture,name,address,latitude,longitude,group
primagi,茨城県,AMジャムジャムつくば,茨城県つくば市竹園1-9-2 ﾃﾞｲｽﾞﾀｳﾝつくば地下1階,36.077986,140.114789,1
primagi,茨城県,AMジャムジャムひたちなか本店,茨城県ひたちなか市田中後40-2,36.347451,140.580100,1
primagi,茨城県,FESTA古河,茨城県古河市松並2-18-10ﾏｰｹｯﾄｼﾃｨ古河内,36.209407,139.708567,1
primagi,茨城県,GiGO龍ヶ崎,茨城県龍ケ崎市藤ｹ丘4-2-8,35.938539,140.195859,1
primagi,茨城県,namco iiasつくば店,茨城県つくば市研究学園5丁目19番地iiasつくば店2F2190,36.086883,140.084350,2
primagi,茨城県,namcoアルプラザ鹿島店,茨城県鹿島郡中能登町井田と1-1ｱﾙﾌﾟﾗｻﾞ鹿島店2F,36.219357,140.183252,1
primagi,茨城県,namcoイオンモールつくば店,茨城県つくば市稲岡66-1ｲｵﾝﾓｰﾙつくば店3F,36.034595,140.132880,1
primagi,茨城県,あそびのひろば鹿嶋,茨城県鹿嶋市宮中290-1 ショッピングセンターチェリオ1F,35.959893,140.643967,1
primagi,茨城県,アピナ下館,茨城県筑西市玉戸1012-3,36.295370,139.945461,1
primagi,茨城県,イトーヨーカドー竜ヶ崎,茨城県龍ケ崎市小柴5-1-2,35.932833,140.160255,1
primagi,茨城県,ゲームパニックつくば,茨城県土浦市中村東1-1-1 ｻﾝﾀｽﾜｰﾙﾄﾞ内,36.046552,140.168214,1
primagi,茨城県,ジャングルパーク笠間,茨城県笠間市赤坂8 笠間SCﾎﾟﾚﾎﾟﾚｼﾃｨ1F,36.391239,140.251591,1
primagi,茨城県,ジョイフル本田ニューポートひたちなかアミューズパーク,茨城県ひたちなか市新光町34-1ｼﾞｮｲﾌﾙ本田ﾆｭｰﾎﾟｰﾄひたちなか1F,36.408018,140.586277,2
primagi,茨城県,セガワールド日立,茨城県日立市田尻町3-26-1,36.627007,140.667702,1
primagi,茨城県,セガ水戸南,茨城県水戸市千波町2017-1 1F,36.350322,140.443010,1
primagi,茨城県,セガ石岡,茨城県石岡市東大橋中峯1976-1,36.240203,140.390052,1
primagi,茨城県,ソユートイズニューヨーク 守谷,茨城県守谷市百合ヶ丘三丁目249番1ｲｵﾝﾀｳﾝ守谷2F,35.944816,139.990594,2
primagi,茨城県,タイトーFステーション トナリエクレオ つくば店,茨城県つくば市吾妻1-7-1トナリエつくばスクエア　クレオ棟3階,36.081865,140.111505,1
primagi,茨城県,タイトーステーション イオンタウン水戸南,茨城県東茨城郡茨城町長岡3480-101,36.311299,140.442970,1
primagi,茨城県,タイトーステーション 佐原東,茨城県稲敷市西代1495 ｼｮｯﾋﾟﾝｸﾞｾﾝﾀｰﾊﾟﾙﾅ2F,35.918605,140.488015,1
primagi,茨城県,ハローズガーデン江戸崎,茨城県稲敷市江戸崎甲4836 ﾊﾟﾝﾌﾟ江戸崎SC1F,35.956716,140.321393,1
primagi,茨城県,ビックカメラ水戸駅前,茨城県水戸市宮町1-7-31 ｴｸｾﾙみなみ4F,36.370064,140.476640,1
primagi,茨城県,ピンクパンサー水戸けやき台,茨城県水戸市酒門町3276-1,36.338082,140.483112,1
primagi,茨城県,ピンクパンサー土浦,茨城県土浦市木田余4585-3,36.106563,140.215309,1
primagi,茨城県,ピンクパンサー日立,茨城県日立市東多賀町5-10-10,36.548234,140.630508,1
primagi,茨城県,モーリーファンタジーつくば,茨城県つくば市稲岡66-1 ｲｵﾝ3F,36.036297,140.136563,1
primagi,茨城県,モーリーファンタジー下妻,茨城県下妻市堀籠972-1 ｲｵﾝ下妻店2階,36.190036,139.990152,1
primagi,茨城県,モーリーファンタジー古河,茨城県古河市旭町1-2-17 ｲｵﾝ古河店2階,36.197113,139.720001,1
primagi,茨城県,モーリーファンタジー高萩,茨城県高萩市安良川231 ｲｵﾝ高萩店2F,36.706027,140.708096,1
primagi,茨城県,モーリーファンタジー佐原東,茨城県稲敷市西代1495 ﾊﾟﾙﾅ佐原東店2階,35.918548,140.488175,1
primagi,茨城県,モーリーファンタジー水戸内原,茨城県水戸市内原2-1 ｲｵﾝ3F,36.374927,140.360015,2
primagi,茨城県,モーリーファンタジー土浦,茨城県土浦市上高津367 ｲｵﾝ土浦店3階,36.080775,140.179658,1
primagi,茨城県,モーリーファンタジー東海,茨城県那珂郡東海村舟石川駅東四-1-1 ｲｵﾝ東海店2階,36.463253,140.566927,1
primagi,茨城県,宝島勝田,茨城県ひたちなか市石川町1-1MEGAﾄﾞﾝ･ｷﾎｰﾃ勝田店2階,36.393121,140.527489,1
