series,prefecture,name,address,latitude,longitude,group
primagi,長野県,namcoアリオ上田店,長野県上田市天神3-5-1ｱﾘｵ上田1F,36.399261,138.244577,1
primagi,長野県,PALO諏訪,長野県諏訪市沖田町5-18 諏訪ｽﾃｰｼｮﾝﾊﾟｰｸ1F･2F,36.004581,138.130181,1
primagi,長野県,THE 3RD PLANET 長野大通り,長野県長野市大字鶴賀権堂町1506-3 長電権堂第2ﾋﾞﾙ1F,36.653226,138.192057,2
primagi,長野県,アピタ伊那,長野県伊那市西町5182-1,35.831933,137.949808,1
primagi,長野県,アピタ岡谷,長野県岡谷市銀座1-1-5,36.066286,138.052142,1
primagi,長野県,アピタ飯田店ゲームコーナー,長野県飯田市鼎名古熊2461ｱﾋﾟﾀ飯田店,35.500069,137.829739,1
primagi,長野県,アピナ伊那,長野県伊那市西町5093,35.833764,137.950896,1
primagi,長野県,アピナ塩尻,長野県塩尻市広丘野村1794-1,36.141547,137.953752,1
primagi,長野県,アピナ佐久インター,長野県佐久市岩村田北1-13-1,36.284225,138.482709,1
primagi,長野県,アピナ松本,長野県松本市双葉19-10,36.210527,137.961503,1
primagi,長野県,アピナ上田,長野県上田市秋和359-1,36.416009,138.223416,1
primagi,長野県,アピナ長野川中島,長野県長野市川中島町御厨967-1,36.598095,138.157596,1
primagi,長野県,アピナ長野村山,長野県長野市村山502-1,36.668027,138.263419,1
primagi,長野県,アピナ長野大橋,長野県長野市若里7-9-12,36.626537,138.200368,1
primagi,長野県,アピナ穂高,長野県安曇野市穂高2450,36.334634,137.891993,1
primagi,長野県,イオンモール佐久平ゲームコーナー,長野県佐久市佐久平駅南11-10ｲｵﾝﾓｰﾙ佐久平2F,36.275507,138.464025,1
primagi,長野県,イトーヨーカドーアリオ上田,長野県上田市天神3-51,36.400542,138.241219,1
primagi,長野県,ジョーシン長野インター,長野県長野市篠ﾉ井杵淵480-1,36.581647,138.179015,1
primagi,長野県,セガワールド豊科,長野県安曇野市豊科南穂高１１１５,36.303113,137.922477,1
primagi,長野県,セガ岡谷,長野県岡谷市塚間町２－１－２１,36.065227,138.053033,1
primagi,長野県,セガ松本,長野県松本市渚1-7-1 なぎさﾗｲﾌｻｲﾄ内,36.233331,137.955620,1
primagi,長野県,ソユーゲームフィールド 長野三輪,長野県長野市三輪九丁目43番24号ｲｵﾝﾀｳﾝ長野三輪2F,36.669703,138.207174,1
primagi,長野県,タイトーステーション アイシティ21松本,長野県東筑摩郡山形村7977 ｱｲｼﾃｨ21内,36.184412,137.892633,1
primagi,長野県,モーリーファンタジー松本,長野県松本市中央4-9-51 ｲｵﾝｽﾀｲﾙ松本店内3F,36.233878,137.978978,1
primagi,長野県,モーリーファンタジー上田,長野県上田市常田2-12-18 ｲｵﾝ上田店2階,36.392144,138.257705,1
primagi,長野県,モーリーファンタジー中野,長野県中野市大字一本木252-1 ｲｵﾝ中野店2階,36.758753,138.372468,1
primagi,長野県,モーリーファンタジー南松本,長野県松本市双葉5-20 ｲｵﾝ南松本店2階,36.208113,137.965587,1
primagi,長野県,モーリーファンタジー飯田アップルロード,長野県飯田市鼎一色456 ｲｵﾝ飯田ｱｯﾌﾟﾙﾛｰﾄﾞ店2階,35.500477,137.816526,1
primagi,長野県,ヤマダデンキテックランドNew佐久本店,長野県佐久市佐久平駅南25-3,36.274808,138.468891,1
primagi,長野県,レイクウォーク岡谷店ゲームコーナー,長野県岡谷市銀座1-1-5ﾚｲｸｳｫｰｸ岡谷2F,36.066073,138.051991,1
