series,prefecture,name,address,latitude,longitude,group
primagi,青森県,namcoエルムの街ショッピングセンター,青森県五所川原市大字唐笠柳字藤巻517-1ｴﾙﾑの街SC本棟2階,40.798609,140.454247,1
primagi,青森県,PALOむつ,青森県むつ市中央2-7-8 1F,41.292799,141.183468,1
primagi,青森県,PALO五所川原,青森県五所川原市唐笠柳字藤巻641-1 ｱｸﾛｽﾌﾟﾗｻﾞ五所川原,40.800881,140.461454,1
primagi,青森県,PALO黒石,青森県黒石市富士見103-3 ｱｸﾛｽﾌﾟﾗｻﾞ黒石,40.665959,140.600804,1
primagi,青森県,イトーヨーカドー弘前,青森県弘前市大字駅前3-2-1,40.599694,140.481044,1
primagi,青森県,イトーヨーカドー青森,青森県青森市浜田1-14-1,40.800958,140.749094,1
primagi,青森県,イトーヨーカドー八戸沼館,青森県八戸市沼館4-7-111,40.528130,141.497437,1
primagi,青森県,ゲームフィールド弘前樋の口,青森県弘前市樋の口二丁目9-6ｲｵﾝﾀｳﾝ弘前樋の口店,40.602029,140.445187,1
primagi,青森県,スペースファンタジーインフィニ,青森県弘前市城東北三丁目10番地1さくら野百貨店弘前店4F,40.606733,140.496051,1
primagi,青森県,セガ弘前,青森県弘前市末広１－３－３,40.604113,140.499914,1
primagi,青森県,ソユーゲームフィールド 青森,青森県青森市浜田一丁目14番地1ｲﾄｰﾖｰｶﾄﾞｰ青森店2F,40.800876,140.749049,1
primagi,青森県,ソユーゲームフィールド 八戸,青森県八戸市沼館四丁目7番112号八戸ﾋﾟｱﾄﾞｩB棟2F,40.527732,141.497573,1
primagi,青森県,タイトーFステーション 八戸,青森県八戸市三日町27,40.509242,141.490576,1
primagi,青森県,タイトーステーション 青森アムゼ,青森県青森市緑3丁目9番地の2 ｻﾝﾛｰﾄﾞ青森ｱﾑｾﾞ内,40.806401,140.752776,1
primagi,青森県,タイトーステーション 青森ガーラモール,青森県青森市三好2-3-19,40.833054,140.702433,1
primagi,青森県,トイザらス青森,青森県青森市三好2-3-11ｶﾞｰﾗﾀｳﾝ,40.833394,140.701856,1
primagi,青森県,ハロータイトー イオン七戸十和田駅前,青森県上北郡七戸町字荒熊内67番地990 ｲｵﾝ七戸十和田駅前店内,40.718792,141.155371,1
primagi,青森県,ハロータイトー むつ,青森県むつ市小川町2-4-8 前田百貨店内4F,41.292761,141.207525,1
primagi,青森県,ファンタジードーム八戸,青森県八戸市江陽2-14-1ﾗﾋﾟｱ八戸店別棟,40.521900,141.503367,1
primagi,青森県,モーリーファンタジーつがる柏,青森県つがる市柏稲盛幾世41-1 ｲｵﾝつがる柏店1階,40.802970,140.416543,1
primagi,青森県,モーリーファンタジー下田,青森県上北郡おいらせ町中野平40-1 ｲｵﾝ下田店2階,40.601650,141.418424,1
primagi,青森県,モーリーファンタジー三沢,青森県三沢市松園町3-10-1 ﾋﾞｰﾄﾞﾙﾌﾟﾗｻﾞ三沢店1F,40.675020,141.362966,1
primagi,青森県,モーリーファンタジー十和田,青森県十和田市大字相坂字六日町山166-1 ｲｵﾝSC十和田店1階,40.603141,141.256951,1
primagi,青森県,モーリーファンタジー鶴田,青森県北津軽郡鶴田町鶴田中泉245-1 鶴田ﾌｯﾄﾘﾊﾞｰﾓｰﾙ店1F,40.764379,140.441586,1
primagi,青森県,モーリーファンタジー藤崎,青森県南津軽郡藤崎町大字西豊田1-7-1 ｲｵﾝ藤崎店2階,40.657307,140.501687,1
primagi,青森県,モーリーファンタジー八戸田向,青森県八戸市大字田向字毘沙門平27-1 ｲｵﾝ1F,40.492560,141.511572,1
primagi,青森県,モーリーファンタジー平賀,青森県平川市小和森上松岡193-1 ｲｵﾝﾀｳﾝ平賀店1階,40.590274,140.566136,1
primagi,青森県,ラウンドワン青森,青森県青森市浜田3丁目1番1号,40.799520,140.747697,1
