series,prefecture,name,address,latitude,longitude,group
primagi,香川県,GiGOイオンモール高松,香川県高松市香西本町1-1 イオンモール高松2F 227-2,34.351821,134.004908,1
primagi,香川県,namcoフジグラン十川店,香川県高松市十川西町651-1ﾌｼﾞｸﾞﾗﾝ十川別棟,34.272056,134.108211,1
primagi,香川県,タイトーステーション丸亀,香川県丸亀市川西町南1280番地1 ﾌｼﾞｸﾞﾗﾝ丸亀ﾊﾞｯﾊ棟2F,34.241747,133.835799,2
primagi,香川県,トイザらス丸亀,香川県丸亀市蓬莱町56-1ﾊﾟﾌﾞﾘｯｸﾌﾟﾗｻﾞ丸亀内,34.295638,133.784791,1
primagi,香川県,ペリカン丸亀,香川県丸亀市新田町150ゆめﾀｳﾝ丸亀内3F,34.273508,133.785538,1
primagi,香川県,ペリカン高松,香川県高松市三条町字中所608-1ゆめﾀｳﾝ高松内2F,34.316949,134.041476,1
primagi,香川県,ペリカン三豊,香川県三豊市豊中町本山甲22,34.145447,133.699574,1
primagi,香川県,モーリーファンタジーf綾川,香川県綾歌郡綾川町萱原822-1 ｲｵﾝ綾川SC3階,34.251338,133.931749,1
primagi,香川県,モーリーファンタジー綾川,香川県綾歌郡綾川町萱原822-1 ｲｵﾝ綾川店3階,34.251814,133.930713,1
primagi,香川県,モーリーファンタジー高松,香川県高松市香西本町1-1 ｲｵﾝ高松店3階,34.352013,134.004263,1
primagi,香川県,モーリーファンタジー高松東,香川県高松市福岡町3-8-5 ｲｵﾝ高松東店3階,34.345349,134.072704,1
primagi,香川県,ゆめタウン高松店,香川県高松市三条町中所608-1ゆめﾀｳﾝ高松店2Fゆめﾗﾝﾄﾞ,34.317008,134.041364,1
