series,prefecture,name,address,latitude,longitude,group
primagi,高知県,namcoフジグラン葛島店,高知県高知市小倉町3-30ﾌｼﾞｸﾞﾗﾝ葛島店内,33.558550,133.567250,1
primagi,高知県,namcoフジグラン四万十店,高知県四万十市具同字東五反田2222番地ﾌｼﾞｸﾞﾗﾝ四万十店内,32.981136,132.920533,1
primagi,高知県,SOYU Game Field高松,高知県高松市香西本町1番地1ｲｵﾝﾓｰﾙ高松2F,34.352055,134.004800,1
primagi,高知県,アミュージアム高松,高知県高松市伏石町2144-91F,34.311998,134.055610,1
primagi,高知県,アミュージアム高知,高知県高知市介良字長丁乙317-1,33.553931,133.603930,1
primagi,高知県,サニーアクシス南国アクシスキッズ,高知県南国市大そね乙1009ｻﾆｰｱｸｼｽ南国店,33.566545,133.648733,2
primagi,高知県,セガワールドフジグラン,高知県高知市朝倉東町52-15 ﾌｼﾞｸﾞﾗﾝ高知3F,33.542920,133.497877,1
primagi,高知県,タイトーFステーション 野市,高知県香南市野市町西野2007-1 ﾌｼﾞｸﾞﾗﾝ野市店内,33.561614,133.696117,1
primagi,高知県,フジグラン葛島,高知県高知市小倉町3-30,33.557972,133.566932,1
primagi,高知県,フジグラン高知,高知県高知市朝倉東町52-15,33.542830,133.498759,1
primagi,高知県,フジ須崎,高知県須崎市西町2-7-15,33.385940,133.280554,1
primagi,高知県,プラサカプコン高知,高知県高知市秦南町1-4-8 ｲｵﾝﾓｰﾙ高知2F,33.575833,133.543490,2
primagi,高知県,モーリーファンタジー高知,高知県高知市秦南町1-4-8 ｲｵﾝ高知店2階,33.577477,133.542322,1
