series,prefecture,name,address
pripara,三重県,ＮＩＣＯＰＡイオン津,三重県津市桜橋３－４４６　イオン津店　２Ｆ
pripara,三重県,NICOPA伊勢,三重県伊勢市楠部町乙１６０イオン伊勢店２Ｆ
pripara,三重県,ＮＩＣＯＰＡ四日市北,三重県四日市市富州原町２－４０　イオン四日市北店
pripara,三重県,ＰＡＬＯ桑名,三重県桑名市新西方１丁目２２番地
pripara,三重県,ＹＡＺワールド四日市,三重県四日市市泊小柳町４－３－４
pripara,三重県,アピナ鈴鹿,三重県鈴鹿市庄野羽山４－２０－１　イオンタウン鈴鹿２階
pripara,三重県,仔熊近鉄百貨店四日市,三重県四日市市諏訪栄町７－３４近鉄百貨店四日市店６階玩具売り場
pripara,三重県,トイザらス津,三重県津市藤方９８５－１
pripara,三重県,ハローズガーデン鈴鹿,三重県鈴鹿市南玉垣町３６２８アピタ鈴鹿店２Ｆ
pripara,三重県,モーリーファンタジーイオン鈴鹿,三重県鈴鹿市庄野羽山４－１－２イオン2階
pripara,三重県,モーリーファンタジー津南,三重県津市高茶屋小森町１４５番地イオンモール津南３Ｆ
pripara,三重県,モーリーファンタジー阿児,三重県志摩市阿児町鵜方３２１５イオン２Ｆ
pripara,三重県,モーリーファンタジー伊賀上野,三重県伊賀市上野茅町２５１９イオン2階
pripara,三重県,モーリーファンタジー桑名,三重県桑名市新西方1丁目22番地
pripara,三重県,モーリーファンタジー四日市尾平,三重県四日市市尾平町字天王川原1805
pripara,三重県,モーリーファンタジー四日市北,三重県四日市市富州原町２－４０イオン２Ｆ
pripara,三重県,モーリーファンタジー松阪,三重県松阪市船江町１３９２－２７マーム３Ｆ
pripara,三重県,モーリーファンタジー津城山,三重県津市久居小野辺町１１３０－７イオンタウン２Ｆ
pripara,三重県,モーリーファンタジー東員,三重県員弁郡東員町長深字築田510番地1
pripara,三重県,モーリーファンタジー明和,三重県多気郡明和町中村長波賀１２２３番地イオン２Ｆ
