series,prefecture,name,address
pripara,京都府,イズミヤ六地蔵,京都府京都市伏見区桃山町西尾１２－１
pripara,京都府,ビックカメラＪＲ京都駅,京都府京都市下京区東塩小路町９２７ トイズコーナー
pripara,京都府,セガワールド六地蔵,京都府京都市伏見区桃山町山ノ下３２ 京都ショッピングセンタービルＡＭ棟２Ｆ
pripara,京都府,イズミヤ大久保,京都府城陽市平川室木８５ 玩具売場
pripara,京都府,プラサカプコン京都,京都府京都市右京区西院追分町２５－１イオンモール京都五条３Ｆ
pripara,京都府,イズミヤ八幡,京都府八幡市八幡一ノ坪２３－１ 玩具売場
pripara,京都府,ＴＨＥ３ＲＤＰＬＡＮＥＴＢｉＶｉ京都二条,京都府京都市中京区西ノ京栂尾町１－６
pripara,京都府,モーリーファンタジー桂南,京都府京都市南区久世上久世町４８５ ダイエー２階
pripara,京都府,モーリーファンタジー久御山,京都府久世郡久御山町森南大内１５６－１ イオン２Ｆ
pripara,京都府,ジョーシン長岡京,京都府長岡京市神足四ノ坪１－２玩具売場
pripara,京都府,トイザらス向日市,京都府向日市鶏冠井町西金村５ むこうしステーションパーク内
pripara,京都府,モーリーファンタジー京都桂川,京都府京都市南区久世高田町３７６番イオン３階
pripara,京都府,モーリーファンタジー高の原,京都府木津川市相楽台１－１－１
pripara,京都府,モーリーファンタジー綾部,京都府綾部市綾中町花ノ木３０バザールタウン綾部店２Ｆ
pripara,京都府,ヨドバシカメラマルチメディア京都,京都府京都市下京区烏丸通り七条下ル東塩小路町５９０－２ 玩具売場
pripara,京都府,モーリーファンタジー福知山,京都府福知山市岩井７９－８ イオン２Ｆ
pripara,京都府,モーリーファンタジー洛南,京都府京都市南区吉祥院御池町３１ イオン２Ｆ
pripara,京都府,イオン京都五条,京都府京都市右京区西院追分町２５－１ イオン２Ｆ玩具売場
