series,prefecture,name,address
pripara,兵庫県,ＭＥＧＡドン・キホーテ姫路広畑,兵庫県姫路市広畑区夢前町１－１－１
pripara,兵庫県,ニシダヤ三和,兵庫県尼崎市神田南通３－８３
pripara,兵庫県,ふぇすたらんど小野店,兵庫県小野市王子町８６８－１　イオン小野店２F
pripara,兵庫県,プリズムストーン  神戸店,兵庫県神戸市中央区東川崎町1-7-2 umie NORTH MALL内 6F アニメガ×ソフマップ　神戸ハーバーランド店内
pripara,兵庫県,アピナ姫路,兵庫県姫路市東郷町１４５４－３姫路リオス２Ｆ
pripara,兵庫県,アミパラ加古川,兵庫県加古川市尾上町今福７１－２
pripara,兵庫県,イオン伊丹昆陽,兵庫県伊丹市池尻４－１－１　　イオン３Ｆ玩具売場
pripara,兵庫県,イオン明石,兵庫県明石市大久保町ゆりのき通り３－３－１　イオン明石３番街３Ｆ玩具売場
pripara,兵庫県,イズミヤスーパーセンター神戸玉津,兵庫県神戸市西区森友３－７－３玩具売場
pripara,兵庫県,イズミヤ小林,兵庫県宝塚市小林５－５－４７玩具売場
pripara,兵庫県,イトーヨーカドー加古川,兵庫県加古川市別府町緑町２玩具売場
pripara,兵庫県,イトーヨーカドー甲子園,兵庫県西宮市甲子園八番町１－１００玩具売場
pripara,兵庫県,エディオン神戸北町,兵庫県神戸市北区日の峰2-3-3
pripara,兵庫県,エディオン垂水,兵庫県神戸市垂水区舞多聞東2丁目1-45
pripara,兵庫県,ジョーシン伊丹昆陽イオンモール,兵庫県伊丹市池尻４－１－１イオンモール伊丹昆陽１Ｆ　玩具売場
pripara,兵庫県,ダイエー鈴蘭台,兵庫県神戸市北区鈴蘭台南町６－１－４３
pripara,兵庫県,タイトーＦステーションＨＡＴ神戸,兵庫県神戸市中央区脇浜海岸通２－２－２ブルメールＨＡＴ神戸２Ｆ
pripara,兵庫県,タイトーＦステーション三宮西館,兵庫県神戸市中央区三宮町２－１１－１三宮センタービル西館３階
pripara,兵庫県,タイトーＦステーション姫路店,兵庫県姫路市駅前町269.270番地
pripara,兵庫県,タイトーステーション尼崎つかしん,兵庫県尼崎市塚口本町４－８－１SCつかしん内東町北館３F
pripara,兵庫県,ハローズガーデン広畑,兵庫県姫路市広畑区夢前町１－１－１ＭＥＧＡドンキホーテ姫路広畑店１階
pripara,兵庫県,ふぇすたらんど土山,兵庫県明石市魚住町清水字舞々２２０８－１　イオン土山店内
pripara,兵庫県,ホムスタ加古川,兵庫県加古川市尾上町安田３５１番メガコート２Ｆ
pripara,兵庫県,ホムスタ玉津,兵庫県神戸市西区丸塚２－９－１８メガパレス２Ｆ
pripara,兵庫県,モーリーファンタジー明石,兵庫県明石市大久保町ゆりのき通り３－３－１
pripara,兵庫県,モーリーファンタジージェームス山,兵庫県神戸市垂水区青山台７－７－１イオン１階
pripara,兵庫県,モーリーファンタジー伊丹,兵庫県伊丹市藤ノ木１－１－１イオン3階
pripara,兵庫県,モーリーファンタジー加西北条,兵庫県加西市北条町北条３０８－１イオン２Ｆ
pripara,兵庫県,モーリーファンタジー高砂,兵庫県高砂市緑丘２丁目１－４０イオン２Ｆ
pripara,兵庫県,モーリーファンタジー三木,兵庫県三木市大村字砂１６３　イオン３Ｆ
pripara,兵庫県,モーリーファンタジー三木青山,兵庫県三木市志染町青山３－９イオン2階
pripara,兵庫県,モーリーファンタジー山崎,兵庫県宍粟市山崎町中井字城下１０イオン３階
pripara,兵庫県,モーリーファンタジー社,兵庫県加東市社１１２６－１イオン２Ｆ
pripara,兵庫県,モーリーファンタジー洲本,兵庫県洲本市塩屋１－１－８イオン２Ｆ
pripara,兵庫県,モーリーファンタジー神戸北,兵庫県神戸市北区上津台８－１－１　　イオン３Ｆ
pripara,兵庫県,モーリーファンタジー西宮,兵庫県西宮市林田町２－２４
pripara,兵庫県,モーリーファンタジー西神中央,兵庫県神戸市西区糀台５－３－４
pripara,兵庫県,モーリーファンタジー猪名川,兵庫県川辺郡猪名川町白金２－１イオン３Ｆ
pripara,兵庫県,モーリーファンタジー長田南,兵庫県神戸市長田区東尻池新町１番２０号イオンＳＣ２階
pripara,兵庫県,モーリーファンタジー藤原台,兵庫県神戸市北区藤原台中町１－２－２
pripara,兵庫県,モーリーファンタジー南淡路,兵庫県南あわじ市 賀集八幡北字東内３７８－１イオン1階
pripara,兵庫県,モーリーファンタジー尼崎,兵庫県尼崎市次屋３－１３－１８イオン２階
pripara,兵庫県,モーリーファンタジー板宿,兵庫県神戸市須磨区前池町３－２－１ダイエー板宿店４Ｆ
pripara,兵庫県,モーリーファンタジー舞子,兵庫県神戸市垂水区舞子台６－２０－１７ダイエー２階
pripara,兵庫県,モーリーファンタジー宝塚中山,兵庫県宝塚市売布東の町２１－２２ダイエー2階
pripara,兵庫県,モーリーファンタジー名谷,兵庫県神戸市須磨区中落合２丁目２－２ダイエー名谷２階
pripara,兵庫県,モーリーファンタジー竜野,兵庫県たつの市龍野町堂本字五反田２５０－１イオン３階
pripara,兵庫県,モーリーファンタジー和田山,兵庫県朝来市和田山町枚田岡７７４イオン2階
pripara,兵庫県,ヤマダ電機ＬＡＢＩ三宮,兵庫県神戸市中央区三宮町１－５－８
pripara,兵庫県,わいわいカーニバル,兵庫県神戸市北区日の峰２－６－１コアキタマチ３Ｆ
