series,prefecture,name,address
pripara,北海道,ＢＥＳＴＯＭ中富良野,北海道空知郡中富良野町字中富良野東１線北１７号玩具売場
pripara,北海道,ＭＡＸＩＭＨＥＲＯ,北海道札幌市北区北６条西６丁目鉄道高架下
pripara,北海道,ＰＡＬＯ釧路,北海道釧路郡釧路町桂木１－１－７イオン２Ｆ
pripara,北海道,ＰＡＬＯ江別,北海道江別市幸町３５　イオン３Ｆ
pripara,北海道,ＰＡＬＯ滝川,北海道滝川市東町２丁目２９－１
pripara,北海道,ＰＡＬＯ苫小牧,北海道苫小牧市糸井１３５－１　トライアルＧ棟
pripara,北海道,ＰＡＬＯ網走,北海道網走市駒場北５丁目８３番地
pripara,北海道,SOYU Ｇａｍｅ Ｆｉｅｌｄ発寒店,北海道札幌市西区発寒８条１２丁目１番１号イオンモール札幌発寒３Ｆ
pripara,北海道,アドアーズ札幌北４２条,北海道札幌市東区北４２条東７丁目１－１
pripara,北海道,イオン旭川永山,北海道旭川市永山３条１２－２－１１玩具売場
pripara,北海道,イトーヨーカドー屯田,北海道札幌市北区屯田８条３丁目５－１玩具売場
pripara,北海道,キャッツアイ新札幌,北海道札幌市厚別区厚別東５条１丁目
pripara,北海道,キャッツアイ新川,北海道札幌市北区新川２条７丁目１－７
pripara,北海道,キャッツアイ清田,北海道札幌市清田区清田１条１丁目２０－１
pripara,北海道,ゲームランド新さっぽろ,北海道札幌市厚別区中央２条５丁目７番　新さっぽろイオンカテプリ新さっぽろ３階
pripara,北海道,ソユーゲームフィールド旭川駅前店,北海道旭川市宮下通７丁目２番５号　イオンモール旭川駅前４Ｆ
pripara,北海道,タイトーステーションイオンモール釧路昭和,北海道釧路市昭和中央４－１８ー１イオンモール釧路昭和２Ｆ
pripara,北海道,トイザらス・ベビーザラス函館,北海道函館市石川町52-15
pripara,北海道,トイザらス釧路,北海道釧路市昭和中央３－３－８
pripara,北海道,ビックカメラ札幌,北海道札幌市中央区北五条西２－１　札幌ＥＳＴＡ　ＪＲタワー４Ｆ
pripara,北海道,モーリーファンタジー旭川パルプ,北海道旭川市パルプ町１条２丁目５０５番地２ショッピングセンターパルプタウン内１Ｆ
pripara,北海道,モーリーファンタジー旭川西,北海道旭川市緑町２３－２１６１－３イオン２Ｆ
pripara,北海道,モーリーファンタジー釧路昭和,北海道釧路市昭和中央　４－１８－１イオン２Ｆ
pripara,北海道,モーリーファンタジー札幌琴似,北海道札幌市西区琴似２条４－２－２イオン札幌琴似３階
pripara,北海道,モーリーファンタジー札幌桑園,北海道札幌市中央区北８条西１４丁目２８番地　　イオン２Ｆ
pripara,北海道,モーリーファンタジー札幌元町,北海道札幌市東区北３１条東１５丁目１－１イオン３階
pripara,北海道,モーリーファンタジー札幌発寒,北海道札幌市西区発寒８条１２丁目１－１イオン3階
pripara,北海道,モーリーファンタジー札幌苗穂,北海道札幌市東区東苗穂２条３丁目１番１号　イオン２Ｆ
pripara,北海道,モーリーファンタジー札幌平岡,北海道札幌市清田区平岡３条５丁目３－１イオン２Ｆ
pripara,北海道,モーリーファンタジー札幌麻生,北海道札幌市北区北３９条西４－１－５イオン４Ｆ
pripara,北海道,モーリーファンタジー三笠,北海道三笠市岡山１０５９－１　　ＳｕＣ１Ｆ
pripara,北海道,モーリーファンタジー手稲山口,北海道札幌市手稲区明日風６丁目１番１号ＳｕＣ１Ｆ
pripara,北海道,モーリーファンタジー上磯,北海道北斗市七重浜４－４４－１　　　　　イオン上磯店１Ｆ
pripara,北海道,モーリーファンタジー新さっぽろ,北海道札幌市厚別区厚別中央２条５丁目６－２新札幌アークシティdUo２２階
pripara,北海道,モーリーファンタジー石狩緑苑台,北海道石狩市緑苑台中央１丁目２番ＳｕＣ１Ｆ
pripara,北海道,モーリーファンタジー中標津,北海道標津郡中標津町南町３番地１０東武サウスヒルズ1階
pripara,北海道,モーリーファンタジー登別,北海道登別市若山町４－３３－１
pripara,北海道,モーリーファンタジー東札幌,北海道札幌市白石区東札幌３条２－１
pripara,北海道,モーリーファンタジー湯川,北海道函館市湯川町３－１４－５
pripara,北海道,モーリーファンタジー苫小牧,北海道苫小牧市柳町３－１－２０イオン2階
pripara,北海道,モーリーファンタジー名寄,北海道名寄市字徳田８０番地１イオンＳＣ２Ｆ
pripara,北海道,ヨドバシカメラマルチメディア札幌,北海道札幌市北区北６条西５－１－２２　玩具売場
pripara,北海道,西條 士別店,北海道士別市大通東１６丁目３１４３玩具売場
pripara,北海道,西條百貨店稚内,北海道稚内市大黒４丁目７－１玩具売場
pripara,北海道,プリズムストーン  新札幌店,北海道札幌市厚別区厚別中央2条5丁目6-2 DUO-1 4階 アニメガ新札幌DUO店
