series,prefecture,name,address
pripara,埼玉県,あそびライブラリー,埼玉県川口市宮町１８－９ララガーデン川口店　２Ｆ
pripara,埼玉県,おもちゃのアポロ,埼玉県八潮市中央３丁目２１－４
pripara,埼玉県,タイトーステーション和光,埼玉県和光市丸山台１－４－５
pripara,埼玉県,宝島浦和原山,埼玉県さいたま市緑区原山４－３－３
pripara,埼玉県,宝島蓮田,埼玉県蓮田市東４－５－１３　ＭＥＧＡドン・キホーテ蓮田店２Ｆ
pripara,埼玉県,ハローズガーデン本庄,埼玉県本庄市南１－２－１０アピタ本庄店１Ｆ
pripara,埼玉県,古本市場川口伊刈,埼玉県川口市芝東２０－１５
pripara,埼玉県,宝島浦和美園,埼玉県さいたま市緑区美園５－５０－１イオンモール浦和美園２Ｆ
pripara,埼玉県,アミュージアム川口店,埼玉県川口市本町2-7-25　ミエルかわぐち3F
pripara,埼玉県,ＦＥＳＴＡ上尾,埼玉県上尾市愛宕３丁目１－４０　バリュープラザ上尾愛宕店内
pripara,埼玉県,Ｆｏｒｋｉｄｓ’川口,埼玉県川口市栄町３－５－１そごう川口店　７Ｆ
pripara,埼玉県,ＰＡＬＯ熊谷,埼玉県熊谷市本石２－１３５　イオン３Ｆ
pripara,埼玉県,ＰＡＬＯ埼玉大井,埼玉県ふじみ野市西鶴ケ岡１丁目３番１５号ビバモール埼玉大井ショッピングセンター２Ｆ
pripara,埼玉県,ＳＯＹＵＧａｍｅＦｉｅｌｄ熊谷,埼玉県熊谷市埼玉県熊谷市銀座二丁目２４５番地　ショッピングセンターニットーモール４Ｆ
pripara,埼玉県,ＴＨＥ３ＲＤＰＬＡＮＥＴフレスポ八潮,埼玉県八潮市大瀬８２２番地１　フレスポ八潮３Ｆ
pripara,埼玉県,アピタ桶川,埼玉県桶川市桶川都市計画事業下日出谷東特定土地区画整理事業地内４２街区１画地　玩具売場
pripara,埼玉県,アピタ本庄,埼玉県本庄市南１－２－１０　玩具売場
pripara,埼玉県,アピナ上尾,埼玉県上尾市埼玉県上尾市緑丘３丁目３番１１－２号　ＰＡＰＡ上尾　プリンセス棟１階・２階
pripara,埼玉県,アミュージアム鴻巣,埼玉県鴻巣市本町１－１－２　エルミこうのす３Ｆ
pripara,埼玉県,ハローズガーデン吹上,埼玉県鴻巣市袋字道上９０－１ＦＵＪＩＭＡＬＬ吹上店２Ｆ
pripara,埼玉県,アミュージアム新座,埼玉県新座市東北２－３２－１２
pripara,埼玉県,イオン新座,埼玉県新座市東北２－３２－１２玩具売場
pripara,埼玉県,イオン川口前川,埼玉県川口市前川１－１－１１玩具売場
pripara,埼玉県,イトーヨーカドーアリオ川口,埼玉県川口市並木元町１－７９玩具売場
pripara,埼玉県,イトーヨーカドー久喜,埼玉県久喜市中央４－９－１１玩具売場
pripara,埼玉県,イトーヨーカドー錦町,埼玉県蕨市錦町１－１２－１玩具売場
pripara,埼玉県,イトーヨーカドー春日部,埼玉県春日部市中央１－１３－１玩具売場
pripara,埼玉県,イトーヨーカドー草加,埼玉県草加市高砂２－７－１玩具売場
pripara,埼玉県,イトーヨーカドー和光,埼玉県和光市丸山台１－９－３玩具売場
pripara,埼玉県,ウェアハウス三橋,埼玉県さいたま市西区三橋６－９５５－１
pripara,埼玉県,キャッツアイ狭山,埼玉県狭山市入間川３１４１
pripara,埼玉県,ゲームシティプラス川越,埼玉県川越市埼玉県川越市泉町１－１　ウニクス南古谷シネマ棟１Ｆ
pripara,埼玉県,ゲームシティ川口,埼玉県川口市埼玉県川口市栄町１－１０－５
pripara,埼玉県,ゲームスクエア三芳,埼玉県入間郡三芳町大字藤久保字北新埜855
pripara,埼玉県,ゲームパニック三郷,埼玉県三郷市彦野２－２６
pripara,埼玉県,ゲオ東越谷,埼玉県越谷市東越谷４－８－１７
pripara,埼玉県,コジマ×ビックカメラ新座,埼玉県新座市野火止６－１－１０
pripara,埼玉県,スーパーアルプス愛川,埼玉県八潮市２－１１０３－１　（スーパーアルプス愛川分）㈱ハローズ八潮営業所
pripara,埼玉県,スコナランド新座,埼玉県新座市中野２－１－３８　ＯＳＣデオシティ新座３Ｆ
pripara,埼玉県,タイトーステーション所沢,埼玉県所沢市日吉町３－７スカイビュウビル
pripara,埼玉県,トイザらス岩槻,埼玉県さいたま市岩槻区城町２－６－２８
pripara,埼玉県,トイザらス熊谷,埼玉県熊谷市代１０６７
pripara,埼玉県,トイザらス草加,埼玉県草加市清門町字北４０１－１　セーモンプラザ２Ｆ
pripara,埼玉県,にこぱエムズタウン幸手,埼玉県幸手市上高野７６４　エムズタウン幸手
pripara,埼玉県,ハローズガーデンワカバウォーク,埼玉県鶴ケ島市富士見１－２－１ワカバウォーク北棟２階
pripara,埼玉県,ハローズガーデン深谷,埼玉県深谷市上紫町西４－２－１４アリオ深谷店２階
pripara,埼玉県,ハローズパシオス秩父,埼玉県秩父市永田町１０－２７
pripara,埼玉県,ビックカメラ大宮西口そごう,埼玉県さいたま市さいたま市大宮区桜木町１－８－４　そごうパーキング館
pripara,埼玉県,プラサカプコン羽生,埼玉県羽生市川崎２－２８１－３　イオンモール羽生２Ｆ
pripara,埼玉県,プレイランド菖蒲,埼玉県久喜市菖蒲町菖蒲６００５番地１　モラージュ菖蒲３Ｆ
pripara,埼玉県,ポップンパーク宮代キッズ,埼玉県南埼玉郡宮代町道佛５９５　フードスクエア宮代店１Ｆ
pripara,埼玉県,モーリーファンタジーせんげん台,埼玉県越谷市千間台西３－２－１２イオン３Ｆ
pripara,埼玉県,モーリーファンタジーレイクタウン,埼玉県越谷市レイクタウン３丁目１番地１　イオンレイクタウンｍｏｒｉ３Ｆ
