series,prefecture,name,address
pripara,大分県,ＦＥＳＴＡコスモタウン佐伯,大分県佐伯市鶴岡西町２丁目１６３番地　コスモタウン佐伯内
pripara,大分県,ＦＥＳＴＡフリーモールわさだ,大分県大分市大字木上字鉾手２１０２番地　フリーモールわさだ内
pripara,大分県,タイトーステーションアミュプラザおおいた,大分県大分市要町１－１４　アミュプラザおおいた４Ｆ
pripara,大分県,トイザらス大分,大分県大分市大字宮崎５２５
pripara,大分県,プラサカプコン大分,大分県大分市公園通り西２丁目１番　パークプレイス大分２Ｆ
pripara,大分県,ペリカンあけの,大分県大分市明野東１－１－１あけのアクロスタウン１番街４Ｆ　玩具売場
pripara,大分県,ペリカン中津,大分県中津市大字島田１３４１－１ゆめタウン中津内３Ｆ
pripara,大分県,モーリーファンタジーパークプレイス大分,大分県大分市公園通り西２丁目－１イオン２Ｆ
pripara,大分県,モーリーファンタジー三光,大分県中津市三光佐知１０３２イオン三光店２F
pripara,大分県,モーリーファンタジー日田,大分県日田市南元町１４－２２
pripara,大分県,モーリーファンタジー挾間,大分県由布市挾間町北方７７番地　玩具売場
