series,prefecture,name,address
pripara,大阪府,タイトーステーション梅三小路,大阪府大阪市北区梅田３丁目２－１３６大阪ステーションシティ
pripara,大阪府,エディオン豊中,大阪府豊中市日出町2-2-18
pripara,大阪府,ＥＮＴＥＲＴＡＩＮＭＥＮＴ　ＦＩＥＬＤ,大阪府吹田市千里万博公園２－１　ららぽーとＥＸＰＯＣＩＴＹ３Ｆ
pripara,大阪府,ＮＩＣＯＰＡベルファ都島,大阪府大阪市都島区友渕町２－１３－３４
pripara,大阪府,ＮＩＣＯＰＡ原山台,大阪府堺市南区原山台５－９－８
pripara,大阪府,ＳＯＹＵＧＡＭＥＦＩＥＬＤ堺鉄砲町,大阪府堺市堺区鉄砲町１番地　イオンモール堺鉄砲町３Ｆ
pripara,大阪府,ＹＡＺ寝屋川,大阪府寝屋川市石津中町２５－２６
pripara,大阪府,イオン高槻,大阪府高槻市萩之庄３－４７－２玩具売場
pripara,大阪府,イズミヤ古市,大阪府羽曳野市翠鳥園３９５－１玩具売場
pripara,大阪府,イズミヤ八尾,大阪府八尾市沼１－１玩具売場
pripara,大阪府,イトーヨーカドーアリオ八尾,大阪府八尾市光町２－３玩具売場
pripara,大阪府,イトーヨーカドーアリオ鳳,大阪府堺市西区鳳南町３－１９９－１２玩具売場
pripara,大阪府,ジョーシン平野うりわり,大阪府大阪市平野区瓜破４－２－８
pripara,大阪府,ジョーシン外環柏原,大阪府柏原市本郷５－９６９玩具売場
pripara,大阪府,ジョーシン寝屋川,大阪府寝屋川市昭栄町１８－１玩具売場
pripara,大阪府,ジョーシン新石切,大阪府東大阪市弥生町１６－１２　ホームセンターコーナン２Ｆ　玩具売場
pripara,大阪府,ジョーシン新大阪,大阪府大阪市淀川区西宮原２－２－１７　新大阪センイシティー３号館２Ｆ　玩具売場
pripara,大阪府,ジョーシン大東,大阪府大東市新田旭町２－８玩具売場
pripara,大阪府,ジョーシン東大阪,大阪府東大阪市若江西新町３－１－７玩具売場
pripara,大阪府,ダイエー曽根,大阪府豊中市曽根東町３－３－１
pripara,大阪府,タイトーステーション大阪日本橋,大阪府大阪市浪速区日本橋４－９－１４
pripara,大阪府,タイトーステーション難波,大阪府大阪市中央区難波千日前１５－１２
pripara,大阪府,宝島　日根野,大阪府泉佐野市日根野２４９６－１イオンモール日根野店２Ｆ
pripara,大阪府,宝島泉ヶ丘,大阪府堺市南区三原台１－１－３
pripara,大阪府,宝島岸和田,大阪府岸和田市春木若松町２１－１ララパーク岸和田店２Ｆ
pripara,大阪府,トイザらス住之江公園,大阪府大阪市住之江区南加賀屋２－３－２３
pripara,大阪府,トイザらス泉北ニュータウン,大阪府堺市中区三原台１－１－３　ＪＯＹＰＡＲＫ泉ヶ丘３Ｆ
pripara,大阪府,トイザらス藤井寺,大阪府藤井寺市岡２－８－４１　ソリヤ２Ｆ
pripara,大阪府,ハローズガーデン泉佐野,大阪府泉佐野市下瓦屋２－２－７７いこらもーる泉佐野　１Ｆ
pripara,大阪府,ハローズ中もず,大阪府泉佐野市下瓦屋２－２－７７（ハローズ中もず店分）いこらもーる泉佐野　１Ｆ
pripara,大阪府,ビックカメラなんば,大阪府大阪市中央区千日前２－１０－１玩具売場
pripara,大阪府,ふぇすたらんど泉大津,大阪府泉大津市我孫子２２０-１
pripara,大阪府,ふぇすたらんど東大阪,大阪府東大阪市西岩田３－２－３山陽マルナカ東大阪店２階
pripara,大阪府,プラサカプコン藤井寺,大阪府藤井寺市岡２丁目１０番１１号イオン藤井寺ショッピングセンター２Ｆ
pripara,大阪府,モーリーファンタジーｆ茨木,大阪府茨木市松ヶ本町８-３０-５イオンＳＣ４Ｆ
pripara,大阪府,モーリーファンタジーおおとり,大阪府堺市西区鳳東町７－７３３　おおとりウイングス２Ｆ
pripara,大阪府,モーリーファンタジーりんくう泉南,大阪府泉南市りんくう南浜３－１イオン2階
pripara,大阪府,モーリーファンタジー貝塚,大阪府貝塚市地蔵堂７４－２イオン２Ｆ
pripara,大阪府,モーリーファンタジー喜連瓜破駅前,大阪府大阪市平野区瓜破２－１－１３　イオン３Ｆ
pripara,大阪府,モーリーファンタジー金剛,大阪府大阪狭山市半田１－３５－１
pripara,大阪府,モーリーファンタジー金剛東,大阪府富田林市向陽台３－１－１イオン4階
pripara,大阪府,モーリーファンタジー堺北花田,大阪府堺市北区東浅香山町４－１－１２イオン２Ｆ
pripara,大阪府,モーリーファンタジー四條畷,大阪府四條畷市砂四丁目３番２号イオンスタイル3階
pripara,大阪府,モーリーファンタジー吹田,大阪府吹田市朝日町２－１０１
pripara,大阪府,モーリーファンタジー大阪ドームシティ,大阪府大阪市西区千代崎３丁目１３番１　イオン３Ｆ
pripara,大阪府,モーリーファンタジー長吉,大阪府大阪市平野区長吉長原西１－１－１０
pripara,大阪府,モーリーファンタジー鶴見緑地,大阪府大阪市鶴見区鶴見４丁目１７－１イオン３Ｆ
pripara,大阪府,モーリーファンタジー東岸和田,大阪府岸和田市土生町２－３２－７　　イオン２Ｆ
pripara,大阪府,モーリーファンタジー東大阪,大阪府東大阪市荒本北２丁目３番２２号イオン１Ｆ
pripara,大阪府,モーリーファンタジー南千里,大阪府吹田市千里山西６－５６－１　イオン４Ｆ
pripara,大阪府,モーリーファンタジー和泉府中,大阪府和泉市肥子町２－２－１　イオン４Ｆ
pripara,大阪府,ヤマダ電機テックランド豊中,大阪府豊中市庄内東町２－７－１０
pripara,大阪府,ヨドバシカメラマルチメディア梅田,大阪府大阪市北区大深町１－１　玩具売場
pripara,大阪府,わくわくアミーゴ河内長野,大阪府河内長野市本町２４－１ノバティながの北館４Ｆ
pripara,大阪府,わくわくアミーゴ今福,大阪府城東区今福東１－１０－５イズミヤファミリータウン内Ｂ１Ｆ
pripara,大阪府,わくわくアミーゴ尾崎,大阪府阪南市下出１６７－１　オークワわくわくＣＩＴＹ尾　崎店２Ｆ
pripara,大阪府,仔熊近鉄百貨店上本町,大阪府大阪市天王寺区上本町６－１－５５近鉄百貨店上本町店７Ｆ
pripara,大阪府,天王子パスカ,大阪府大阪市阿倍野区阿倍野筋２－４－５１
pripara,大阪府,宝島鴻池,大阪府東大阪市鴻池１－１－７２　イオン鴻池店２F
pripara,大阪府,プリズムストーン  なんば店,大阪府大阪市浪速区日本橋３丁目６−１８ ６F アニメガ×ソフマップなんば店内
