series,prefecture,name,address
pripara,宮城県,あそびの広場船岡,宮城県柴田郡柴田町西船迫２－１－１５イオン２階
pripara,宮城県,アピナ新利府北館店,宮城県宮城郡利府町利府字新屋田前２２イオンモール新利府北館２Ｆ
pripara,宮城県,イオンスーパーセンター佐沼,宮城県登米市南方町新島前４６－１　玩具売場
pripara,宮城県,イオンスーパーセンター湯沢,宮城県湯沢市字上荻生田１６２　玩具売場
pripara,宮城県,イトーヨーカドーアリオ仙台泉,宮城県仙台市泉区泉中央１－５－１　玩具売場
pripara,宮城県,ゲームランド佐沼,宮城県登米市南方町新島前　４６－１イオンタウン佐沼１Ｆ
pripara,宮城県,タイトーステーション仙台クリスロード,宮城県仙台市青葉区中央２－３－２５
pripara,宮城県,タイトーステーション仙台名掛丁,宮城県仙台市青葉区中央１－７－１３
pripara,宮城県,ビーカム松森,宮城県仙台市泉区松森字斉兵衛５８－１
pripara,宮城県,プラサカプコン石巻,宮城県石巻市茜平４丁目１０４番地イオン石巻ＳＣ２Ｆ
pripara,宮城県,プリズムストーン仙台,宮城県仙台市青葉区中央４－１－１Ｅ ＢｅａｎＳ１Ｆ
pripara,宮城県,モーリーファンタジー塩釜,宮城県塩釜市海岸通１５番１００号イオンタウン２階
pripara,宮城県,モーリーファンタジー鈎取,宮城県仙台市太白区本町１－２１－１イオンスーパーセンター鈎取店１Ｆ
pripara,宮城県,モーリーファンタジー気仙沼,宮城県気仙沼市赤岩舘下６－１外イオン２階
pripara,宮城県,モーリーファンタジー栗原志波姫,宮城県栗原市志波姫新熊谷１１番イオンスーパーセンター栗原志波姫１Ｆ
pripara,宮城県,モーリーファンタジー古川,宮城県大崎市古川旭２丁目２－１イオン２Ｆ
pripara,宮城県,モーリーファンタジー新名取,宮城県名取市杜せきのした５丁目３番地の１イオン３Ｆ
pripara,宮城県,モーリーファンタジー石巻,宮城県石巻市茜平４－１０４番地　イオン２階
pripara,宮城県,モーリーファンタジー石巻東,宮城県石巻市流留七勺１番１イオンスーパーセンター石巻東店１階
pripara,宮城県,モーリーファンタジー仙台中山,宮城県仙台市泉区南中山１－３５－４０イオン３階
pripara,宮城県,モーリーファンタジー多賀城,宮城県多賀城市町前４－１－１イオン３階
pripara,宮城県,モーリーファンタジー富谷,宮城県富谷市大清水１－３３－１イオンモール富谷イオン富谷１Ｆ
pripara,宮城県,モーリーファンタジー涌谷,宮城県遠田郡谷町字洞ヶ崎５番地　イオンスーパーセンター涌谷店１階
pripara,宮城県,モーリーファンタジー利府,宮城県宮城郡利府町字新屋田前２２イオン２Ｆ
pripara,宮城県,わくわくランド新庄,宮城県新庄市金沢字大道上２０３３－４ヤマザワ新庄店内
pripara,宮城県,仙台ベガロポリス,宮城県仙台市太白区西多賀５丁目２４－１
