series,prefecture,name,address
pripara,山口県,ＰＡＬＯ豊富,山口県防府市中央町１－３イオン3階
pripara,山口県,アミュージアム周南,山口県下松市中央町２１－３ＴＨＥＭＡＬＬ周南３Ｆ
pripara,山口県,イオン防府,山口県防府市中央町１－３玩具売場
pripara,山口県,ふぇすたらんど下松,山口県下松市南花岡六丁目８番１号　サンリブ下松店内
pripara,山口県,ふぇすたらんど萩,山口県萩市大字唐桶町２－４サンリブ萩店内
pripara,山口県,フジグラン宇部,山口県宇部市明神町３－１－１　玩具売場
pripara,山口県,ペリカン南岩国,山口県岩国市南岩国町１－２０－３０ゆめタウン南岩国２Ｆ
pripara,山口県,ペリカン防府,山口県防府市八王子２－８－８ゆめタウン防府内３Ｆ　玩具売場
pripara,山口県,ミスターマックス山口,山口県山口市黒川８２－１ミスターマックス山口店内
pripara,山口県,モーリーファンタジー下関,山口県下関市竹崎町４－４－７シーモールエスト4階
pripara,山口県,モーリーファンタジー光,山口県光市浅江字木園１７５６－１イオン２Ｆ
pripara,山口県,ゆめパークゆめタウン徳山,山口県周南市青山町１丁目１８番ゆめタウン徳山２Ｆ
