series,prefecture,name,address
pripara,岐阜県,ＮＩＣＯＰＡアクアウォーク大垣,岐阜県大垣市林町六丁目８０番２１号　アクアウォーク大垣２Ｆ
pripara,岐阜県,トイザらス・ベビーザラス各務原,岐阜県各務原市那加萱場町３－８イオンモール各務原３Ｆ
pripara,岐阜県,ハローズ萩原,岐阜県下呂市萩原町大字花池字川原１６４－１　バロー萩原店
pripara,岐阜県,バローランド中津川,岐阜県中津川市淀川町３－８ルビットタウン２Ｆ
pripara,岐阜県,モーリーファンタジーｆ岐阜,岐阜県岐阜市正木中１-２-１マーサ２１北館３Ｆ
pripara,岐阜県,モーリーファンタジー各務原,岐阜県各務原市那加萱場町３－８　イオンモール３Ｆ
pripara,岐阜県,モーリーファンタジー関,岐阜県関市倉知５１６　サンサンシティ・マーゴ　イオン１Ｆ
pripara,岐阜県,モーリーファンタジー岐阜,岐阜県岐阜市正木中１－２－１　　マーサ２１　北館　３Ｆイオン岐阜３Ｆ
pripara,岐阜県,モーリーファンタジー多治見,岐阜県多治見市西坂町５－３１－１多治見インターモール1階
pripara,岐阜県,モーリーファンタジー大垣,岐阜県大垣市外野２丁目１００番イオン２Ｆ
pripara,岐阜県,ルビットランド高山,岐阜県高山市岡本町３丁目１８－２ルビットタウン２Ｆ
pripara,岐阜県,レイク・リビン可児,岐阜県可児市下恵土５７５０玩具売り場
