series,prefecture,name,address
pripara,岡山県,アミパラ岡山,岡山県岡山市北区青江１丁目１３－８
pripara,岡山県,ビックカメラ岡山駅前,岡山県岡山市北区駅前町１－１－１玩具売場
pripara,岡山県,ふぇすたらんど倉敷マスカット,岡山県倉敷市松島字羽伏１１６３番地２山陽マルナカ倉敷マスカット店　別棟３Ｆ
pripara,岡山県,ふぇすたらんど築港,岡山県岡山市南区築港元町１４－１山陽マルナカ築港店内
pripara,岡山県,ふぇすたらんど平島,岡山県岡山市東区東平島１６０９　マルナカ平島店内
pripara,岡山県,モーリーファンタジー・ｆ岡山,岡山県岡山市北区下石井１丁目２番１号　イオンモール４Ｆ
pripara,岡山県,モーリーファンタジーｆ岡山,岡山県岡山市北区下石井１丁目２番１号イオンモール4階
pripara,岡山県,モーリーファンタジー水島,岡山県倉敷市水島高砂町３番１１号
pripara,岡山県,モーリーファンタジー倉敷,岡山県倉敷市水江１番地イオン１Ｆ
pripara,岡山県,モーリーファンタジー津山,岡山県津山市河辺１０００－１イオン２Ｆ
