series,prefecture,name,address
pripara,広島県,ピノッキースパティオ福山,広島県福山市入船町３丁目１－６０ゆめタウン福山２Ｆ
pripara,広島県,あみぱらんど福山,広島県福山市三吉町南２－８－２４
pripara,広島県,イオン宇品,広島県広島市南区宇品東６－１－１５
pripara,広島県,そごう広島,広島県広島市中区基町６－２７そごう　広島店　６Ｆ玩具売場
pripara,広島県,タイトーステーション広島紙屋町,広島県広島市中区紙屋町２丁目２−２１
pripara,広島県,タイトーステーション広島本通,広島県広島市中区本通３－５
pripara,広島県,ふぇすたらんど可部,広島県広島市安佐北区可部７－４－１３マルナカ可部内
pripara,広島県,ふぇすたらんど五日市,広島県広島市佐伯区八幡１－２４－１７　サンリブ五日市店内
pripara,広島県,フジグラン高陽,広島県広島市安佐北区亀崎１－１－６
pripara,広島県,フジグラン神辺,広島県福山市神辺町大字新道上字２－１０－２６玩具売場
pripara,広島県,フジグラン東広島,広島県東広島市西条町御薗宇４４０５　玩具売場
pripara,広島県,プラサカプコン広島,広島県広島市佐伯区石内東４－１－１ジアウトレット広島１Ｆ
pripara,広島県,ペリカン江田島,広島県江田島市大柿町飛渡瀬１８０　玩具売場
pripara,広島県,メリーゴーランド神辺,広島県福山市神辺町新湯野２－３０－４アクト神辺１階
pripara,広島県,モーリーファンタジーｆ広島祗園,広島県広島市安佐南区祇園３丁目２－１イオンＳＣ3階
pripara,広島県,モーリーファンタジー広島祇園,広島県広島市安佐南区祇園３丁目２－１イオン３Ｆ
pripara,広島県,モーリーファンタジー広島府中,広島県安芸郡府中町大須２－１－１イオン２Ｆ
pripara,広島県,モーリーファンタジー三原,広島県三原市城町２－１３－１イオン２Ｆ
pripara,広島県,ヤマダ電機テックランド福山西,広島県福山市高西町３－２－３８玩具売場
pripara,広島県,わいわい王国メリーゴーランド楽々園,広島県広島市佐伯区楽々園４丁目１４－１ナイスデイ２階
pripara,広島県,福山メトロポリス,広島県福山市一文字町２４－１
