series,prefecture,name,address
pripara,愛知県,アピタ刈谷,愛知県刈谷市南桜町２丁目５６番１号
pripara,愛知県,アピタ稲沢,愛知県稲沢市天池五反田町１番地
pripara,愛知県,アピタ長久手,愛知県長久手市戸田谷９０１番地１
pripara,愛知県,アピタ阿久比,愛知県知多郡阿久比町大字椋岡字徳吉１番地１２
pripara,愛知県,アミュージアム津島,愛知県津島市大字津島北新開３５１番地 ヨシズヤ津島本店別館２階
pripara,愛知県,アミューズファクトリー常滑,愛知県常滑市りんくう町２丁目２０番３ イオンモール常滑店２Ｆ
pripara,愛知県,イオン豊橋南,愛知県豊橋市野依町字落合１－１２ 玩具売場
pripara,愛知県,イトーヨーカドー安城,愛知県安城市住吉町３－１－８ 玩具売場
pripara,愛知県,イトーヨーカドー尾張旭,愛知県尾張旭市南原山町石原１１６－４ 玩具売場
pripara,愛知県,イトーヨーカドー知多,愛知県知多市新知東町１－１０－１ 玩具売場
pripara,愛知県,カラフルパークイオン千種,愛知県名古屋市千種区千種２－１６－１３ イオン千種ＳＣ２Ｆ
pripara,愛知県,ゲームランド岡崎,愛知県岡崎市戸崎町字外山３８－５ イオンモール岡崎 シネマ館３Ｆ
pripara,愛知県,タイトーステーションフェドラ大須店,愛知県名古屋市中区大須３－３０－３１ 萬松寺駐車場ビル１階・２階
pripara,愛知県,タイトーステーション大須,愛知県名古屋市中区大須３－２０－７
pripara,愛知県,ニコパウイングタウン岡崎,愛知県岡崎市羽根町小豆坂３番地
pripara,愛知県,にこぱエルエルタウン岡崎,愛知県岡崎市上和田町南天白５－１ エルエルタウン岡崎店
pripara,愛知県,にこぱなるぱーく,愛知県名古屋市緑区浦里三丁目２３２ なるぱーく２Ｆ
pripara,愛知県,ハローズガーデン安城南,愛知県安城市桜井町貝戸尻６０番地アピタ安城南店２階
pripara,愛知県,ビックカメラ名古屋駅西,愛知県名古屋市中村区椿町６－９ トイズコーナー
pripara,愛知県,ファンタジーウエストタウン西尾,愛知県西尾市高畠町３－２３－９ ヴェルサウォーク西尾店３階
pripara,愛知県,プラサカプコン徳重,愛知県名古屋市緑区鳴海町字徳重１８番地４４ヒルズウォーク徳重ガーデンズガーデンズ棟２Ｆ
pripara,愛知県,プラサカプコン稲沢,愛知県稲沢市下津町地内尾張西部郡都市拠点地区１３街区 リーフフォーク稲沢２０１区画
pripara,愛知県,プラサカプコン豊田,愛知県豊田市東山町１－５－１ グリーンシティ３Ｆ
pripara,愛知県,プリズムストーン  名古屋,愛知県名古屋市中村区椿町6-9 ビックカメラ 名古屋駅西店店内
pripara,愛知県,モーリーファンタジー・ｆ新瑞橋,愛知県名古屋市南区菊住１丁目７－１０ イオンモール３Ｆ
pripara,愛知県,モーリーファンタジーナゴヤドーム前,愛知県名古屋市東区矢田南４丁目１０２番地の３イオン３Ｆ
pripara,愛知県,モーリーファンタジーメイトピア,愛知県名古屋市名東区高間町５０１－１ イオン２階
pripara,愛知県,モーリーファンタジーメガドンキ大和,愛知県一宮市大和町毛受字一本松１９番地 ＭＥＧＡドン・キホーテＵＮＹ一宮大和２Ｆ
pripara,愛知県,モーリーファンタジーワンダーシティ,愛知県名古屋市西区二方町４０ イオン３Ｆ
pripara,愛知県,モーリーファンタジー三好,愛知県みよし市三好町青木９１番地 イオン２Ｆ
pripara,愛知県,モーリーファンタジー上飯田,愛知県名古屋市北区織部町１イオン３階
pripara,愛知県,モーリーファンタジー半田,愛知県半田市有楽町８－７イオン２Ｆ
pripara,愛知県,モーリーファンタジー名古屋みなと,愛知県名古屋市港区品川町２－１－６ イオン３Ｆ
pripara,愛知県,モーリーファンタジー名古屋東,愛知県名古屋市名東区猪子石原２－１７０１ イオン１Ｆ
pripara,愛知県,モーリーファンタジー名古屋茶屋,愛知県名古屋市港区西茶屋２丁目１１ イオン３Ｆ
pripara,愛知県,モーリーファンタジー大高,愛知県名古屋市緑区大高町字奥平子１－１ イオン３Ｆ
pripara,愛知県,モーリーファンタジー妙興寺,愛知県一宮市大和町妙興寺字白山西３番地２ ピアゴ妙興寺店３階
pripara,愛知県,モーリーファンタジー守山,愛知県名古屋市守山区笹ヶ根３－１２２８イオン２Ｆ
pripara,愛知県,モーリーファンタジー岡崎,愛知県岡崎市上六名町字宮前１ ショッピングセンターコムタウン１階
pripara,愛知県,モーリーファンタジー岡崎南,愛知県岡崎市戸崎町字ばら山１－１イオン３階
pripara,愛知県,モーリーファンタジー常滑,愛知県常滑市りんくう町２丁目２０番３イオンスタイル２階
pripara,愛知県,モーリーファンタジー扶桑,愛知県丹羽郡扶桑町大字南山名字高塚５－１ イオン２Ｆ
pripara,愛知県,モーリーファンタジー春日井,愛知県春日井市柏井町４－１７イオン４Ｆ
pripara,愛知県,モーリーファンタジー木曽川,愛知県一宮市木曽川町黒田字南八ツヶ池２５－１ イオン２Ｆ
pripara,愛知県,モーリーファンタジー瀬戸みずの,愛知県瀬戸市みずの坂２丁目２５３番地 イオン２Ｆ
pripara,愛知県,モーリーファンタジー熱田,愛知県名古屋市熱田区六野一丁目２番１１号イオン２階
pripara,愛知県,モーリーファンタジー豊川,愛知県豊川市開運通り２－３１ イオン２Ｆ
pripara,愛知県,モーリーファンタジー豊田,愛知県豊田市広路１－１ イオンスタイル豊田内３Ｆ
pripara,愛知県,モーリーファンタジー長久手,愛知県長久手市長久手中央土地区画整理事業地５、１０、１１街区 イオンモール３階
pripara,愛知県,ユーズランド東浦,愛知県知多郡東浦町緒川申新田二区６７－８ イオンモール東浦２Ｆ
pripara,愛知県,ワンダーフォレスト江南西,愛知県江南市松竹町上野２０５ ＶＩＡＭＡＬＬアピタ江南西店２Ｆ
pripara,愛知県,安城メトロポリス,愛知県安城市浜富町６－８
pripara,愛知県,豊川メトロポリス,愛知県豊川市下長山町上アライ１４－１
