series,prefecture,name,address
pripara,栃木県,ＦＫＤインターパーク,栃木県宇都宮市インターパーク６－１－１　２Ｆ　玩具売場
pripara,栃木県,ＦＫＤ宇都宮,栃木県宇都宮市今泉町２３７番地　２Ｆ　玩具売場
pripara,栃木県,ＰＡＬＯ足利,栃木県足利市朝倉町２－２１－１６ヨークタウン足利店1階
pripara,栃木県,ＰＡＬＯ石橋,栃木県下野市下古山３３６２－１
pripara,栃木県,アピタ宇都宮,栃木県宇都宮市江曽島本町２２－７　玩具売場
pripara,栃木県,アピタ足利,栃木県足利市朝倉町２４５　玩具売場
pripara,栃木県,アピナ小山,栃木県小山市駅南町４－２７－１８
pripara,栃木県,イトーヨーカドー宇都宮,栃木県宇都宮市陽東６－２－１玩具売場
pripara,栃木県,スコナランドトライアル宇都宮,栃木県宇都宮市睦町５－５スーパーセンタートライアル宇都宮店１Ｆ
pripara,栃木県,スコナランド宇都宮,栃木県宇都宮市馬場通り２－３－１２　ＭＥＧＡドンキホーテ　ラパークＢ１
pripara,栃木県,スタジオプリモ宇都宮,栃木県宇都宮市曲師町２－８宇都宮フェスタ１Ｆ
pripara,栃木県,タイトーステーションイオンモール佐野新都市,栃木県佐野市高萩町１３２４－１
pripara,栃木県,ドラマ足利,栃木県足利市朝倉町２４４－１
pripara,栃木県,ファンファン足利,栃木県足利市　朝倉町２４５コムファースト４Ｆ
pripara,栃木県,ファンファン那須塩原,栃木県那須塩原市豊浦字豊浦１２－１
pripara,栃木県,モーリーファンタジーさくら,栃木県さくら市桜野１５５１ザ　ビッグ１Ｆ
pripara,栃木県,モーリーファンタジー今市,栃木県日光市豊田字若林７９－１　イオン２Ｆ
pripara,栃木県,モーリーファンタジー佐野新都市,栃木県佐野市高萩町１３２４－１イオン２Ｆ
pripara,栃木県,モーリーファンタジー小山,栃木県小山市中久喜１４６７－１イオン２Ｆ
pripara,栃木県,モーリーファンタジー真岡,栃木県真岡市台町２６６８ザ　ビッグ１Ｆ
pripara,栃木県,モーリーファンタジー那須塩原,栃木県那須塩原市島方４５５イオンタウン１Ｆ
pripara,栃木県,ヨークベニマル西那須野,栃木県那須塩原市太夫塚６－２３２－６
pripara,栃木県,東武宇都宮,栃木県宇都宮市宮園町５－４東武宇都宮百貨店５Ｆ玩具売場
