series,prefecture,name,address
pripara,滋賀県,アミパラ草津,滋賀県草津市木川町７２
pripara,滋賀県,アミューズメントパークさくら店,滋賀県東近江市八日市浜野町３－１ ショッピングプラザアピア４Ｆ
pripara,滋賀県,ゲームフィールドピエリ守山店,滋賀県守山市滋賀県守山市今浜町２６２０－５ ピレリ守山店１Ｆ
pripara,滋賀県,ゲームランド草津,滋賀県草津市新浜町３００ イオンモール草津３Ｆ
pripara,滋賀県,モーリーファンタジーイオン近江八幡,滋賀県近江八幡市鷹飼町南３－７ イオン近江八幡３Ｆ
pripara,滋賀県,モーリーファンタジーベイシア彦根,滋賀県彦根市馬場２－１－１ １Ｆ
pripara,滋賀県,モーリーファンタジー大津一里山,滋賀県大津市一里山７丁目１－１
pripara,滋賀県,モーリーファンタジー大津京,滋賀県大津市皇子が丘３－１１－１イオンスタイル大津京４Ｆ
pripara,滋賀県,モーリーファンタジー草津,滋賀県草津市新浜町３００ イオンモール草津３Ｆ
pripara,滋賀県,モーリーファンタジー長浜,滋賀県長浜市山階町２７１－１イオン２Ｆ
pripara,滋賀県,滋賀レジャーランド大津,滋賀県大津市におの浜３－１－４３
