series,prefecture,name,address
pripara,神奈川県,ＡＭＰＩＡ川崎モアーズ,神奈川県川崎市川崎区駅前本町７番地　岡田屋モアーズ１階
pripara,神奈川県,ＮＩＣＯＰＡ横浜四季の森フォレオ,神奈川県横浜市旭区上白根３丁目４１番１号
pripara,神奈川県,ＳＯＹＵＧａｍｅＦｉｅｌｄ湘南,神奈川県藤沢市辻堂新町四丁目１番１号　湘南モールＦＩＬＬ２Ｆ
pripara,神奈川県,ＴＨＥ３ＲＤＰＬＡＮＥＴ港北ニュータウン,神奈川県横浜市筑区中川中央１丁目２５番１号　ノースポートモール６Ｆ
pripara,神奈川県,ＹＡＺ川崎,神奈川県川崎市幸区小倉５－１９－２３クロスガーデン川崎１Ｆ
pripara,神奈川県,ＹＡＺ平塚,神奈川県平塚市田村１－４－２６
pripara,神奈川県,アピタ戸塚,神奈川県横浜市戸塚区上倉田町７６９－１　玩具売場
pripara,神奈川県,アピタ長津田,神奈川県横浜市緑区長津田みなみ台４丁目７－１　玩具売場
pripara,神奈川県,アピナ橋本,神奈川県相模原市緑区西橋本５－１－１　ラ・フロール駐車場棟１階
pripara,神奈川県,アピナ山下公園,神奈川県横浜市中区新山下1-2-8
pripara,神奈川県,アミューズメントパークジアス上大岡,神奈川県横浜市港南区上大岡西２－１－２８赤い風船ビル２Ｆ
pripara,神奈川県,アムジーＫＴなっつべりぃ,神奈川県川崎市川崎区港町１２－１　イトーヨーカドー川崎港町店２Ｆ
pripara,神奈川県,イオン厚木,神奈川県厚木市中町１－５－１０
pripara,神奈川県,イトーヨーカドーアリオ橋本,神奈川県相模原市緑区大山町１ー２２玩具売場
pripara,神奈川県,イトーヨーカドー桂台,神奈川県横浜市栄区中１５－１
pripara,神奈川県,イトーヨーカドー川崎港町,神奈川県川崎市川崎区港町１２－１玩具売場
pripara,神奈川県,イトーヨーカドーららぽーと横浜,神奈川県横浜市都筑区池辺町４０３５－１玩具売場
pripara,神奈川県,イトーヨーカドー伊勢原,神奈川県伊勢原市桜台１－８－１玩具売場
pripara,神奈川県,イトーヨーカドー古淵,神奈川県相模原市古淵３－１３－３３玩具売場
pripara,神奈川県,イトーヨーカドー溝ノ口,神奈川県川崎市高津区久本３－６－２０玩具売場
pripara,神奈川県,イトーヨーカドー湘南台,神奈川県藤沢市石川６－２－１玩具売場
pripara,神奈川県,イトーヨーカドー新百合ヶ丘,神奈川県川崎市麻生区上麻生１－４－１玩具売場
pripara,神奈川県,イトーヨーカドー相模原,神奈川県相模原市南区松が枝町１７－１玩具売場
pripara,神奈川県,イトーヨーカドー武蔵小杉駅前,神奈川県川崎市中原区小杉町３－４２０玩具売場
pripara,神奈川県,イトーヨーカドー立場,神奈川県横浜市泉区中田西１－１－１５玩具売場
pripara,神奈川県,キッズトレイン相模原,神奈川県相模原市南区松ヶ枝町１７－１
pripara,神奈川県,コジマ×ビックカメラ梶ヶ谷,神奈川県川崎市高津区梶ヶ谷２－２－３
pripara,神奈川県,シルクハット川崎ダイス,神奈川県川崎市川崎区駅前本町８番地　ダイスビル地下２階
pripara,神奈川県,スコナランド金沢シーサイド,神奈川県横浜市金沢区並木２－１３－１　３Ｆ
pripara,神奈川県,タイトーステーションイトーヨーカドー横浜別所,神奈川県横浜市南区別所１－１４－１　イトーヨーカドー横浜別所店２Ｆ
pripara,神奈川県,タイトーステーション戸塚西口,神奈川県横浜市戸塚区戸塚町４０２３
pripara,神奈川県,タイトーステーション溝の口,神奈川県川崎市高津区溝口１－１１－８ＯＫＫＡ６３４ビル
pripara,神奈川県,タイトーステーション横浜西口五番街,神奈川県横浜市西区南幸１－１２－９
pripara,神奈川県,タイトーステーション海老名ビナウォーク,神奈川県海老名市中央１ー１８－１
pripara,神奈川県,タイトーステーション小田原シティーモールクレッセ,神奈川県小田原市前川１２０小田原シティモールクレッセ内２Ｆ
pripara,神奈川県,トイザらス港北ニュータウン,神奈川県横浜市都筑区茅ケ崎中央１４－１２　キーサウス２Ｆ
pripara,神奈川県,ドラマ港北インター,神奈川県横浜市都筑区東方町３２１－６
pripara,神奈川県,ドラマ藤沢,神奈川県藤沢市本藤沢５－６－８
pripara,神奈川県,ノジマ　ららぽーと海老名店,神奈川県海老名市扇町１３－１　ららぽーと海老名　４階ノジマ内　玩具コーナー・仔熊
pripara,神奈川県,ハローズガーデン綾瀬,神奈川県綾瀬市深谷３７３４－１綾瀬タウンヒルズショッピングセンター２階
pripara,神奈川県,ハローズガーデン海老名,神奈川県海老名市中央２－４－１イオン海老名店２階
