series,prefecture,name,address
pripara,福島県,ＰＡＬＯ喜多方,福島県喜多方市字押切南２－４２－１
pripara,福島県,ＳＯＹＵＥＮＴＥＲＴＡＩＮＭＥＮＴＳＴＵＤＩＯ須賀川,福島県須賀川市古河１０５番　イオンタウン須賀川Ｂ棟内
pripara,福島県,ＴＨＥ３ＲＤＰＬＡＮＥＴピボット福島,福島県福島市栄町１－１パワーシティピボット内
pripara,福島県,アピタ会津若松,福島県会津若松市神指町大字南四合字幕内南１５４　玩具売場
pripara,福島県,イオンスーパーセンター南相馬,福島県南相馬市原町区大木戸字金場７７番地　玩具売場
pripara,福島県,イトーヨーカドー郡山,福島県郡山市西ノ内２－１１－４０玩具売場
pripara,福島県,イトーヨーカドー福島,福島県福島市太田町１３－４玩具売場
pripara,福島県,タイトーＦステーション郡山アティ,福島県郡山市駅前１－１６－７
pripara,福島県,トイザらスいわき,福島県いわき市平谷川瀬字双藤町５３－１
pripara,福島県,トイザらス福島,福島県福島市森合字清水７　コープマートいずみ２Ｆ
pripara,福島県,モーリーファンタジーいわき,福島県いわき市平字三倉６８－１
pripara,福島県,モーリーファンタジー鏡石,福島県岩瀬郡鏡石町桜岡３７５－９ＳｕＣ１Ｆ
pripara,福島県,モーリーファンタジー郡山フェスタ,福島県郡山市日和田町字小原１イオン１Ｆ
pripara,福島県,モーリーファンタジー相馬,福島県相馬市馬場野字雨田５１イオン2階
pripara,福島県,モーリーファンタジー白河西郷,福島県西白河郡西郷村大字小田倉字岩下１１－１イオン２Ｆ
pripara,福島県,モーリーファンタジー福島,福島県福島市南矢野目字西荒田５０番地の１７　イオン３Ｆ
pripara,福島県,ヨドバシカメラ郡山駅前,福島県郡山市駅前１－１６－７　玩具売場
