series,prefecture,name,address
pripara,秋田県,ＡＮ．ＫＩＮ．ＴＡＮ五城目,秋田県南秋田郡五城目町大字大川西野字田屋前１３８　イオンスーパーセンター五城目店内
pripara,秋田県,Ｒ－ＢＯＸアルヴェ,秋田県秋田市東通仲町４－１秋田拠点センターアルヴェ１階
pripara,秋田県,ＳＯＹＵＧａｍｅＦｉｅｌｄ御所野,秋田県秋田市御所野地蔵田一丁目１番地１号　イオンモール秋田２Ｆ
pripara,秋田県,イオンスーパーセンター本荘,秋田県由利本荘市石脇字田中１３８番地　玩具売場
pripara,秋田県,イオンスーパーセンター美郷,秋田県仙北郡美郷町南町字南高野３４番　玩具売場
pripara,秋田県,イオンスーパーセンター横手南,秋田県横手市婦気大堤字中田４－１玩具売場
pripara,秋田県,イオン大曲,秋田県大仙市和合字坪立１７７番地　イオン２Ｆ玩具売場
pripara,秋田県,トイザらス秋田,秋田県秋田市卸町１－１３５－１
pripara,秋田県,プラサカプコン大曲,秋田県大仙市和合字坪立１７７　イオンモール大曲　２Ｆ
pripara,秋田県,メルヘンランド大館,秋田県大館市御成町３丁目７－５８いとく大館ショッピングセンター３階
pripara,秋田県,モーリーファンタジー御所野,秋田県秋田市御所野地蔵田1-1-1イオン3階
pripara,秋田県,モーリーファンタジー秋田中央,秋田県秋田市楢山川口境５－１１　　　イオン３Ｆ
pripara,秋田県,モーリーファンタジー大館,秋田県大館市大田面２３８ＳｕＣ１Ｆ
pripara,秋田県,モーリーファンタジー中仙,秋田県大仙市北長野字袴田１８８イオン１Ｆ
pripara,秋田県,リスチャイルドたかのす,秋田県北秋田市栄字中綱３１－１イオンタウンたかのすＳＣ内
pripara,秋田県,リスチャイルド湯沢,秋田県湯沢市字上荻生田１６２イオンスーパーセンター湯沢店内
pripara,秋田県,リスチャイルド本荘,秋田県由利本荘市石脇字田中１３８イオンスーパーセンター本荘店内
