series,prefecture,name,address
pripara,長野県,キラキラＡｓｏｂｏｘ佐久,長野県佐久市岩村田６－２佐久ステーションパーク内
pripara,長野県,ＰＡＬＯ諏訪,長野県諏訪市沖田町５－１８ステーションパーク・諏訪１Ｆ・２Ｆ
pripara,長野県,ＳＯＹＵＧａｍｅＦｉｅｌｄ長野,長野県長野市三輪九丁目４３番２４号　イオンタウン長野三輪２Ｆ
pripara,長野県,ＴＨＥ３ＲＤＰＬＡＮＥＴ長野大通り店,長野県長野市大字鶴賀権堂町１５０６番地３　長電権堂弟２ビル１階
pripara,長野県,アピナ伊那,長野県伊那市西町５０９３
pripara,長野県,アピナ塩尻,長野県塩尻市広丘野村１７９４－１
pripara,長野県,アピナ佐久インター,長野県佐久市岩村田北１－１３－１
pripara,長野県,アピナ松本,長野県松本市双葉１９－１０
pripara,長野県,アピナ上田,長野県上田市秋和３５９－１
pripara,長野県,アピナ長野川中島,長野県長野市川中島町御厨９６７－１
pripara,長野県,アピナ長野村山,長野県長野市村山５０２－１
pripara,長野県,アピナ長野大橋,長野県長野市若里７－９－１２
pripara,長野県,アピナ飯田,長野県飯田市座光寺３７２８－１
pripara,長野県,アピナ穂高,長野県安曇野市穂高２４５０
pripara,長野県,イオン佐久平,長野県佐久市佐久平駅南１１－１０玩具売場
pripara,長野県,イトーヨーカドーアリオ上田,長野県上田市天神３－５１玩具売場
pripara,長野県,イトーヨーカドー長野,長野県長野市権堂町２２０１玩具売場
pripara,長野県,タカラ島駒ヶ根,長野県駒ヶ根市赤穂１５６８ベルシャイン駒ヶ根１Ｆ
pripara,長野県,トイザらス松本,長野県松本市村井町南４－２１－２７
pripara,長野県,モーリーファンタジー松本,長野県松本市中央４－９－５１イオンスタイル松本店内3階
pripara,長野県,モーリーファンタジー上田,長野県上田市常田２－１２－１８イオン２Ｆ
pripara,長野県,モーリーファンタジー中野,長野県中野市大字一本木２５２－１イオン２Ｆ
pripara,長野県,モーリーファンタジー南松本,長野県松本市双葉５－２０イオン２Ｆ
pripara,長野県,モーリーファンタジー飯田アップルロード,長野県飯田市鼎一色４５６　　イオン２Ｆ
pripara,長野県,プリズムストーン  松本店,長野県松本市深志1-3-11 コングロM 3F アニメガ松本店
