series,prefecture,name,address
pripara,香川県,ペリカン高松,香川県高松市三条町字中所６０８－１ゆめタウン高松内 ２Ｆ玩具売場
pripara,香川県,ペリカン丸亀,香川県丸亀市新田町１５０ゆめタウン丸亀内３Ｆ 玩具売場
pripara,香川県,トイザらス高松,香川県高松市屋島西町字百石１９１２－１ パワーシティ尾島２Ｆ
pripara,香川県,ふぇすたらんど三木,香川県木田郡三木町氷上４８２－２ マルナカ三木店２Ｆ
pripara,香川県,ヤマダ電機テックランドＮｅｗ高松レインボー通り,香川県高松市伏石町２０８４ 玩具売場
pripara,香川県,モーリーファンタジー高松東,香川県高松市福岡町３－８－５イオン３Ｆ
pripara,香川県,モーリーファンタジー・ｆ綾川,香川県綾歌郡綾川町萱原８２２－１イオンＳＣ３Ｆ
pripara,香川県,モーリーファンタジー高松,香川県高松市香西本町１－１ イオン３Ｆ
pripara,香川県,プリズムストーン高松店,香川県高松市常磐町１－３－１ 瓦町ＦＬＡＧ ３Ｆ
pripara,香川県,モーリーファンタジー綾川,香川県綾歌郡綾川町萱原８２２－１ イオン３Ｆ
