prefecture,name,address
滋賀県,アルプラザ近江八幡,滋賀県近江八幡市桜宮町２０２－１
滋賀県,モーリーファンタジーイオン近江八幡,滋賀県近江八幡市鷹飼町南３丁目７番
滋賀県,タイトーＦステーションイオン近江八幡店,滋賀県近江八幡市鷹飼町南３丁目７番地イオン近江八幡２番街１階
滋賀県,アル・プラザ栗東,滋賀県栗東市綣２－３－２２
滋賀県,セガワールド甲西,滋賀県湖南市夏見二ツ橋３５６－１
滋賀県,アミパライオンタウン湖南ゲームコーナー,滋賀県湖南市岩根4580　ｲｵﾝﾀｳﾝ湖南
滋賀県,平和堂甲西中央,滋賀県湖南市中央１－３８
滋賀県,アル・プラザ水口,滋賀県甲賀市水口町本綾野５６６－１　玩具売場
滋賀県,ＧａｍｅＦｉｅｌｄピエリ守山,滋賀県守山市滋賀県守山市今浜町２６２０－５
滋賀県,アルプラザ守山,滋賀県守山市播磨田町１８５の１
滋賀県,モーリーファンタジー草津,滋賀県草津市新浜町３００イオン３Ｆ
滋賀県,ゲームランド草津,滋賀県草津市新浜町３００イオンモール草津３Ｆ
滋賀県,イオン草津,滋賀県草津市新浜町３００玩具売場
滋賀県,アル・プラザ草津,滋賀県草津市西渋川１－２３－３０　玩具売場
滋賀県,セガワールド草津,滋賀県草津市西渋川一丁目２３番２３号　ＳＡＲＡ新棟２Ｆ
滋賀県,アミパラ草津,滋賀県草津市木川町７２
滋賀県,滋賀レジャーランド大津,滋賀県大津市におの浜３－１－４３
滋賀県,モーリーファンタジー大津一里山,滋賀県大津市一里山7-1-1　フォレオ大津一里山2F
滋賀県,アル・プラザ瀬田,滋賀県大津市月輪１－３－８
滋賀県,ＴＨＥ３ＲＤＰＬＡＮＥＴ大津,滋賀県大津市打出浜１４－３０（仮）打出浜商業施設６F
滋賀県,モーリーファンタジー長浜,滋賀県長浜市山階町２７１－１イオン２Ｆ
滋賀県,アル・プラザ長浜,滋賀県長浜市小堀町４５０
滋賀県,アル・プラザ八日市,滋賀県東近江市八日市浜野町３－１
滋賀県,ビバシティ平和堂,滋賀県彦根市竹ケ鼻町４３－１　玩具売場
滋賀県,モーリーファンタジーベイシア彦根,滋賀県彦根市馬場２－１－１ １Ｆ
滋賀県,アルプラザ野洲,滋賀県野洲市小篠原１０００番地
