key,prefecture,name,address
shizuoka_0,静岡県,アピタ伊東,静岡県伊東市玖須美元和田７２０番地の１４３　玩具売場
shizuoka_1,静岡県,アピタ大仁,静岡県伊豆の国市吉田字九十分１５３番の１　玩具売場
shizuoka_2,静岡県,AGスクエア掛川,静岡県掛川市細田248
shizuoka_3,静岡県,シートピアＹＡＺ大須賀,静岡県掛川市西大渕３３５９イオンタウン大須賀Ｈ棟
shizuoka_4,静岡県,アピタ掛川,静岡県掛川市大池２８２６番地　玩具売場
shizuoka_5,静岡県,モーリーファンタジー御殿場,静岡県御殿場市萩原６３６番地
shizuoka_6,静岡県,イトーヨーカドー三島,静岡県三島市中田町９－３０玩具売場
shizuoka_7,静岡県,ミシマトイス,静岡県三島市本町３番３５号
shizuoka_8,静岡県,ピアゴ森,静岡県周智郡森町睦実字鳥喰２３２７番地１
shizuoka_9,静岡県,セガワールドサントムーン,静岡県駿東郡清水町玉川61-2
shizuoka_10,静岡県,キッズトレイン三島,静岡県駿東郡清水町伏見５８－１サントムーンアネックス３F
shizuoka_11,静岡県,エディオン柿田川,静岡県駿東郡清水町伏見字泉頭５８－１
shizuoka_12,静岡県,タイトーステーション　ウェルディ長泉店,静岡県駿東郡長泉町下長窪字城山１０７６－１ウェルディ長泉２Ｆ
shizuoka_13,静岡県,ピアゴ香貫,静岡県沼津市下香貫字汐入２２１６番地　玩具売場
shizuoka_14,静岡県,イトーヨーカドー沼津,静岡県沼津市高島本町１－５玩具売場
shizuoka_15,静岡県,ＴＨＥ　３ＲＤ　ＰＬＡＮＥＴ　ＢｉＶｉ沼津店,静岡県沼津市大手町１丁目１番５号
shizuoka_16,静岡県,スタジオプリモ沼津,静岡県沼津市大手町３―４―１沼津ラクーン５Ｆ
shizuoka_17,静岡県,ジョイランドアミューズ諏訪,静岡県沼津市大諏訪叶２０－２
shizuoka_18,静岡県,ピアゴ大覚寺,静岡県焼津市大覚寺2-27-15
