prefecture,name,address
山梨県,タイトーＦステーションラザウォーク甲斐双葉,山梨県甲斐市志田字柿木６１６－１
山梨県,アピタ双葉,山梨県甲斐市志田字柿木６４５－１番地　玩具売場
山梨県,イオン大月,山梨県大月市御太刀1-13-29玩具売場
山梨県,イトーヨーカドー甲府昭和,山梨県中巨摩郡昭和町西条１３－１玩具売場
山梨県,プラサカプコン甲府,山梨県中巨摩郡昭和町西条字北河原３７１７
山梨県,楽市楽座イオンモール甲府,山梨県中巨摩郡昭和町飯喰１５０５－1イオンモール甲府昭和２０１１
山梨県,モーリーファンタジー甲府昭和,山梨県中巨摩郡昭和町飯喰１５０５－１イオン甲府昭和店３階
山梨県,モーリーファンタジー石和,山梨県笛吹市石和町駅前１６－１イオン３Ｆ
山梨県,イオン石和,山梨県笛吹市石和町駅前１６－１玩具売場
山梨県,ハローズガーデン石和,山梨県笛吹市石和町窪中島１５４アピタ石和店２Ｆ
山梨県,アピタ石和,山梨県笛吹市石和町窪中島１５４番地　玩具売場
山梨県,アミュージアム南アルプス,山梨県南アルプス市小笠原１４２３－１スーパーセンタートライアル南アルプス店１Ｆ
山梨県,アミュージアム河口湖,山梨県南都留郡富士河口湖町船津２９８６河口湖ショッピングセンターベル３Ｆ
山梨県,富士急百貨店,山梨県富士吉田市上吉田２－５－１　玩具売り場
山梨県,富士急百貨店富士吉田店ＴＯＹ'ＳＱ,山梨県富士吉田市上吉田２－５－１玩具売り場
