key,name,name_kana
make_it,Make it!,めいくいっと
taiyo_no_flare_serbet,太陽のflare sherbet,たいようのふれあしゃーべっと
marble_make_up_a_ha_ha,ま～ぶるMake up a-ha-ha!,まーぶるめいくあっぷあはは
pretty_prism_paradise,Pretty Prism Paradise!!!,ぷりてぃーぷりずむぱらだいす
no_d_and_d_code,No D&D code,のーでぃーあんどでぃーこーど
happy_pa_lucky,HAPPYぱLUCKY,はっぴーぱらっきー
change_my_world,CHANGE! MY WORLD,ちぇんじまいわーるど
realize,Realize!,りあらいず
zero_week_old,0（ゼロ）-week-old,ぜろうぃーくおーるど
kimi_100_percent_jinse,君100%人生,きみひゃくぱーせんとじんせい
love_friend_style,Love friend style,らぶふれんどすたいる
dream_parade,ドリームパレード,どりーむぱれーど
debi_en_reversible_ring,でび&えん☆Reversible-Ring,でびえんりばーしぶりんぐ
taiyo_no_flare_serbet_sakura_shower_ver,太陽のflare sherbet サクラシャワーver.,たいようのふれあしゃーべっと さくらしゃわーばーじょん
lucky_surprise_birthday,ラッキー！サプライズ☆バースデイ,らっきーさぷらいずばーすでい
konouta_tomareihi,コノウタトマレイヒ,このうたとまれいひ
tondemo_summer_adventure,トンでもSUMMER ADVENTURE,とんでもさまーあどべんちゃー
love_week_old,0（ラブ）-week-old,らぶうぃーくおーるど
zettai_seimei_final_show_jo,絶対生命 final show女,ぜったいせいめいふぁいなるしょうじょ
panic_labyrinth,パニックラビリンス,ぱにっくらびりんす
rainbow_melody,レインボウ・メロディー♪,れいんぼうめろでぃー
omu_omelet,オムオムライス,おむおむらいす
papipupe_police,ぱぴぷぺ☆POLICE!,ぱぴぷぺぽりす
thank_you_birthday,Thankyou♥Birthday,さんきゅーばーすでい
jun_amore_ai,純・アモーレ・愛,ぴゅあもーれあい
what_a_wonder_pri_world,ホワット・ア・ワンダプリ・ワールド!!,ほわっとあわんだぷりわーるど
goin_on,Goin'on,ごーいんおん
virtual_idol,ヴァーチャデリアイドル♥,ばーちゃでりあいどる
pritto_perfect,ぷりっとぱ～ふぇくと,ぷりっとぱーふぇくと
twin_mirror_compact,Twin mirror♥compact,ついんみらーこんぱくと
around_the_pripara_land,アラウンド・ザ・プリパランド！,あらうんどざぷりぱらんど
triangle_star,トライアングル・スター,とらいあんぐるすたー
ready_smile,Ready Smile!!,れでぃーすまいる
pripara_dancing,プリパラ☆ダンシング!!!,ぷりぱらだんしんぐ
charisma_to_girl_yeah,かりすま～とGIRL☆Yeah!,かりすまーとがーるいぇい
run_for_jumping,ラン♪ for ジャンピン!,らんふぉーじゃんぴん
brand_new_dreamer,Brand New Dreamer,ぶらんにゅーどりーまー
amazing_castle,アメイジング・キャッスル,あめいじんぐきゃっする
just_my_chance_call,Just My Chance Call,じゃすとまいちゃんすこーる
mon_chouchou,Mon chouchou,もんしゅしゅ
growin_jewel,Growin‘ Jewel!,ぐろーいんじゅえる
girls_fantasy,Girl's Fantasy,がーるずふぁんたじー
sugarless_friend,シュガーレス×フレンド,しゅがーれすふれんど
idle_wo_torimodose,愛ドルを取り戻せ！,あいどるをとりもどせ
i_friend_you,組曲フォーエバー☆フレンズ ～第一楽章～ I FRIEND YOU!!,くみきょくふぉーえばーふれんず だいいちがくしょう あいふれんどゆー
love_is_friend,組曲フォーエバー☆フレンズ ～第二楽章～ LOVE IS FRIEND,くみきょくふぉーえばーふれんず だいにがくしょう らぶいずふれんど
memories_medley,組曲フォーエバー☆フレンズ ～インターリュード～ メモリーズ・メドレー,くみきょくふぉーえばーふれんず いんたーりゅーど めもりーずめどれー
my_friend_dear_friend,"組曲フォーエバー☆フレンズ ～第三楽章～ My Friend, Dear Friend",くみきょくふぉーえばーふれんず だいさんがくしょう まいふれんどでぃあふれんど
we_are_the_friends,組曲フォーエバー☆フレンズ ～第四楽章～ ウィー・アー・ザ・フレンズ!,くみきょくふぉーえばーふれんず だいよんがくしょう うぃーあーざふれんず
jumpin_dancin,Jumpin'! Dancin'!,じゃんぴんだんしん
miracle_paradise,ミラクル☆パラダイス,みらくるぱらだいす
kiraki_runway,キラキランウェイ☆,きらきらんうぇい
i_just_wana_be_with_you,I Just Wanna Be With You ~仮想(ヴァーチャル)と真実(リアル)の狭間で~,あいじゃすとわなびーうぃずゆー ばーちゃるとりあるのはざまで
idol_kinryoku_lesson_go,アイドルキンリョク♥Lesson GO!,あいどるきんりょくれっすんごー
mune_kyun_love_song,胸キュンLove Song,むねきゅんらぶそんぐ
bright_fantasy,ブライトファンタジー,ぶらいとふぁんたじー
love_trooper,LOVE TROOPER,らぶとるーぱー
shining_star,Shining Star,しゃいにんぐすたー
ticktock_magical_idol_time,チクタク・Magicaる・アイドルタイム!,ちくたくまじかるあいどるたいむ
gira_galactic_tightrope,Giraギャラティック・タイトロープ,ぎらぎゃらくてぃっくたいとろーぷ
make_it_remake_it_remix,Make it! ~Remake It☆Remix~,めいくいっとりめいくいっとりみっくす
red_flash_fevolution,Red Flash Revolution,れっどふらっしゅれぼりゅーしょん
brand_new_happiness!,ブランニュー・ハピネス！,ぶらんにゅーはぴねす
accha_koccha_game,あっちゃこっちゃゲーム,あっちゃこっちゃげーむ
gost_coaster,GOスト♭コースター,ごーすとこーすたー
neo_dimension_go,Neo Dimension Go!!,ねおでぃめんしょんごー
kaida_sensin_kakkin_buddy,快打洗心♡カッキンBUDDY,かいだせんしんかっきんばでぃー
miss_prionaire,Miss.プリオネア,みすぷりおねあ
believe_my_dream,Believe My DREAM!!,びりーぶまいどりーむ
sunshine_bell,サンシャイン・ベル!,さんしゃいんべる
starlight_carnival,すた～らいとカーニバル☆,すたーらいとかーにばる
