key,name
make_it,Make it!
taiyo_no_flare_serbet,太陽のflare sherbet
marble_make_up_a_ha_ha,ま～ぶるMake up a-ha-ha!
pretty_prism_paradise,Pretty Prism Paradise!!!
no_d_and_d_code,No D&D code
happy_pa_lucky,HAPPYぱLUCKY
change_my_world,CHANGE! MY WORLD
realize,Realize!
zero_week_old,0（ゼロ）-week-old
kimi_100_percent_jinse,君100%人生
live_friend_style,Love friend style
dream_parade,ドリームパレード
debi_en_reversible_ring,でび&えん☆Reversible-Ring
taiyo_no_flare_serbet_sakura_shower_ver,太陽のflare sherbet サクラシャワーver.
lucky_surprise_birthday,ラッキー！サプライズ☆バースデイ
konouta_tomareihi,コノウタトマレイヒ
tondemo_summer_adventure,トンでもSUMMER ADVENTURE
love_week_old,0（ラブ）-week-old
zettai_seimei_final_show_jo,絶対生命 final show女
panic_labyrinth,パニックラビリンス
rainbow_melody,レインボウ・メロディー♪
omu_omelet,オムオムライス
papipupe_police,ぱぴぷぺ☆POLICE!
thank_you_birthday,Thankyou♥Birthday
jun_amore_ai,純・アモーレ・愛
what_a_wonder_pri_world,ホワット・ア・ワンダプリ・ワールド!!
goin_on,Goin'on
virtual_idol,ヴァーチャデリアイドル♥
pritto_perfect,ぷりっとぱ～ふぇくと
twin_mirror_compact,Twin mirror♥compact
around_the_pripara_land,アラウンド・ザ・プリパランド！
triangle_star,トライアングル・スター
ready_smile,Ready Smile!!
pripara_dancing,プリパラ☆ダンシング!!!
charisma_to_girl_yeah,かりすま～とGIRL☆Yeah!
run_for_jumping,ラン♪ for ジャンピン!
brand_new_dreamer,Brand New Dreamer
amazing_castle,アメイジング・キャッスル
mon_chouchou,Mon chouchou
growin_jewel,Growin‘ Jewel!
girls_fantasy,Girl's Fantasy
sugarless_friend,シュガーレス×フレンド
idle_wo_torimodose,愛ドルを取り戻せ！
i_friend_you,組曲フォーエバー☆フレンズ ～第一楽章～ I FRIEND YOU!!
love_is_friend,組曲フォーエバー☆フレンズ ～第二楽章～ LOVE IS FRIEND
memories_medley,組曲フォーエバー☆フレンズ ～インターリュード～ メモリーズ・メドレー
my_friend_dear_friend,"組曲フォーエバー☆フレンズ ～第三楽章～ My Friend, Dear Friend"
we_are_the_friends,組曲フォーエバー☆フレンズ ～第四楽章～ ウィー・アー・ザ・フレンズ!
jumpin_dancin,Jumpin'! Dancin'!,
miracle_paradise,ミラクル☆パラダイス,
kiraki_runway,キラキランウェイ☆,
i_just_wana_be_with_you,I Just Wanna Be With You ~仮想(ヴァーチャル)と真実(リアル)の狭間で~
idol_kinryoku_lesson_go,アイドルキンリョク♥Lesson GO!
mune_kyun_love_song,胸キュンLove Song
bright_fantasy,ブライトファンタジー
love_trooper,LOVE TROOPER
shining_star,Shining Star
